"","cat","perpocav","perpocsd","perpocse","perpocmin","perpocmax","perpoc_n","d13cav","d13csd","d13cse","d13cmin","d13cmax","d13c_n","F14Cav","F14Csd","F14Cse","F14Cmin","F14Cmax","F14C_n"
"1","HOL",1.72586139344162,0.697167749288673,0.28461754181364,0.7396852721262,2.8632008558503,6,-26.7337812715021,0.151088410202346,0.0616815851740107,-26.9213931808728,-26.515627475523,6,0.112207868908675,0.212567955076271,0.0950632794777328,0.0066,0.4912,5
"2","LAL",2.88693338195062,1.52592432867346,0.508641442891155,1.13865869133494,4.99219986449936,9,-26.4775776906664,0.25693699038909,0.0856456634630299,-26.9104202421752,-26.0620596374255,9,0.45805,0.205131677222217,0.14505,0.313,0.6031,2
"3","PLE",1.78750368187524,0.837444356070114,0.341885226724235,1.16899557652916,3.45102311684335,6,-26.758118645704,0.148619769671742,0.0606737668976216,-27.00837528902,-26.5723397450581,6,0.00496505486927871,0.00200875202861406,0.000898341217184329,0.0026,0.00748720331589252,5
"4","SB",2.47106039233694,1.72106610139793,0.30911259694962,0.58699908327749,7.32000068727554,31,-26.9550899876667,0.930944227038443,0.167202519067322,-28.3813528302356,-24.0979340501078,31,0.194825,0.117765880033225,0.0588829400166126,0.0858,0.3233,4
"5","UAL",19.0426243510582,1.16167307483985,0.670692262469125,18.3039015001394,20.3816252687804,3,-26.7275722247716,0.0479320177494551,0.0276735633504498,-26.7796612477215,-26.6853249792179,3,0.9868,NA,NA,0.9868,0.9868,1
