,slumpsite,streamloc,sampdate,samptype,repnum,dilfac,coef275295,coef350400,SR,coef275295int,coef350400int,SRint,a254naperian,TSSmgL,a254napTSSstd,a350naperian,a350napTSSstd,atot250450,atot250450TSSstd,sampcode,i,Fmax1,Fmax2,Fmax3,Fmax4,Fmax5,Ftot,Fmax,B,T,A,M,C,D,N,E,FluI,FrI,BIX,HIX,v1,v2,v3,v4,v5,rvm1,rvm2,rvm3,rvm4,rvm5,rvx1,rvx2,rvx3,rvx4,rvx5,pkAB,pkCB,pkTC,pkCM,pkCA,prcntC1,prcntC2,prcntC3,prcntC4,prcntC5,normC1,normC2,normC3,normC4,normC5,normA,normB,normC,normE,normD,normM,normN,normT
21,35,NA,2017-07-20,Sample,2,0.5,0.009849683,0.015916846,0.618821261,0.010537367,0.015916846,0.66202609,2.478330204,NA,NA,0.765183848,NA,198.6759381,NA,35_NA_SS-0000_2017-07-20_Sample_1,22,0.128336193,0.066549606,0.183962311,0.064697545,0.05716609,421.6168426,0.340183113,0.055328325,0.042088936,0.279222823,0.166242538,0.188225499,0.067050225,0.059511127,0.032329657,1.272271942,0.383107426,0.386378108,0.899653073,107.9233529,90.10624275,134.1363004,82.70297161,11.62359521,0.253048676,0.211272767,0.314510366,0.193914263,0.027253929,0.26179447,0.218574715,0.325380381,0.200616271,0.028195871,5.046652379,3.401973564,0.223609108,1.132234272,0.674104992,0.256307535,0.132910015,0.367401629,0.129211159,0.114169661,0.377256215,0.195628775,0.540774376,0.19018447,0.168045056,0.82080154,0.162642774,0.553306416,0.095036043,0.197100392,0.488685451,0.17493851,0.123724354
22,36,NA,2017-07-20,Sample,1,1,0.012857487,0.016303445,0.788636223,0.012990846,0.016303445,0.796816004,0.326622865,NA,NA,0.088782156,NA,24.37859061,NA,36_NA_SS-0000_2017-07-20_Sample_1,24,0.021386411,0.008379153,0.026036784,0.010560781,0.009033994,62.95550625,0.049912085,0.009482623,0.006816619,0.041972688,0.025166291,0.028034537,0.010086313,0.010014099,0.004087931,1.399120109,0.425273456,0.428563074,0.910814553,17.9847406,11.34513155,18.98474688,13.49986211,1.836884142,0.282550744,0.178238621,0.298261424,0.212090692,0.028858519,0.29243802,0.184475711,0.308698464,0.219512366,0.029868363,4.426274038,2.956411638,0.243150761,1.113971741,0.667923317,0.283650224,0.111133597,0.345328619,0.140068749,0.119818811,0.428481613,0.167878249,0.521652906,0.211587647,0.180998121,0.840932371,0.189986513,0.561678339,0.081902629,0.20208158,0.504212377,0.200634756,0.136572515
23,37,NA,2017-07-20,Sample,1,1,0.001711333,0.01377225,0.124259539,0.002761027,0.01377225,0.200477555,3.117445689,NA,NA,1.363020289,NA,318.8636025,NA,37_NA_SS-0000_2017-07-20_Sample_1,25,0.424802803,0.197288626,0.160941697,0.142440281,0.375245581,1006.680722,0.591791278,0.380544529,0.142446652,0.543585793,0.349601255,0.313206985,0.155630033,0.177388151,0.090644926,1.357602473,0.595697687,0.597905411,0.811892605,357.2347093,267.1230975,117.350797,182.0816303,76.29877624,0.357202915,0.267099323,0.117340353,0.182065425,0.076291985,0.374239551,0.279838508,0.122936849,0.190748955,0.079930698,1.428442013,0.823049502,0.454800368,0.895897771,0.576186849,0.32659076,0.151676594,0.123732873,0.109508881,0.288490892,0.717825386,0.333375353,0.271956858,0.240693444,0.634084338,0.918543097,0.643038421,0.529252452,0.153170432,0.262981289,0.590750942,0.299747829,0.24070421
24,38,NA,2017-07-20,Sample,1,1,0.000703974,0.016348854,0.043059545,0.002579584,0.016348854,0.15778377,10.02499795,NA,NA,4.076171794,NA,981.6064836,NA,38_NA_SS-0000_2017-07-20_Sample_1,26,1.894878278,0.656344373,0.847744078,0.558445706,1.329977566,4035.166811,2.76892993,1.342436136,0.61728985,2.437695846,1.60357539,1.514787206,0.608424279,0.77711945,0.32065111,1.360197914,0.564468025,0.565406511,0.828179815,1593.48358,888.6713111,618.1334308,713.8620055,270.4246659,0.390122248,0.217567633,0.151333598,0.174770204,0.066206317,0.408067041,0.22757528,0.158294621,0.182809261,0.069251666,1.815874723,1.128386793,0.407509284,0.944631113,0.621401234,0.35837687,0.124133906,0.160333185,0.105618406,0.251537633,0.684335944,0.237038997,0.306163066,0.201682859,0.480321857,0.880374696,0.484821274,0.547065922,0.115803259,0.219732638,0.579131806,0.280656958,0.222934442
25,40-alt1,NA,2017-08-09,Sample,1,1,0.014154426,0.015130586,0.935484312,0.013873426,0.015130586,0.916912664,0.209821769,NA,NA,0.058008009,NA,15.72217091,NA,40-alt1_NA_SS-0000_2017-08-09_Sample_1,27,0.010581653,0.005363435,0.012195334,0.004527307,0.009724281,33.27455395,0.024658074,0.009663703,0.004181284,0.020025443,0.012613649,0.013304328,0.00485413,0.004808843,0.002584948,1.299458631,0.423039238,0.427352849,0.856972952,8.898561234,7.261935951,8.89223972,5.787263299,1.977240538,0.271155071,0.221284172,0.270962443,0.17634826,0.060250054,0.282045996,0.230172036,0.281845632,0.183431276,0.062669994,2.07223287,1.37673188,0.314279985,1.054756478,0.66437122,0.249614326,0.126519949,0.287680009,0.106796229,0.229389486,0.429135424,0.217512324,0.494577714,0.183603425,0.394365003,0.812125189,0.391908265,0.539552603,0.104831707,0.19685763,0.511542345,0.19502103,0.169570584
26,42,NA,2017-07-15,Sample,1,1,0.01000369,0.013958086,0.716694992,0.009872905,0.013958086,0.707325097,60.22434654,NA,NA,20.02548154,NA,5110.099635,NA,42_NA_SS-0000_2017-07-15_Sample_1,29,6.762900046,3.643197447,3.500300203,2.467317715,1.266437021,16416.01293,10.36371021,1.449877483,1.250453917,9.711846847,5.787122133,5.614563493,2.785204736,2.652156838,1.689759673,1.30225933,0.536864951,0.543750521,0.916944902,5687.209728,4932.784044,2552.247347,3153.976035,257.5049511,0.342939281,0.297447341,0.153900755,0.190185051,0.015527573,0.354214772,0.307227104,0.158960853,0.19643814,0.016038103,6.698391389,3.872439954,0.222716141,0.970182305,0.578114913,0.383381043,0.206528683,0.198428002,0.13986941,0.071792862,0.652555881,0.351534091,0.337745859,0.23807282,0.122199193,0.937101352,0.139899462,0.541752266,0.163045824,0.26874591,0.558402543,0.255908047,0.120656974
27,42,NA,2017-07-15,Duplicate,1,1,0.010216632,0.014027104,0.728349324,0.009889729,0.014027104,0.705044251,62.93022958,NA,NA,21.60980358,NA,5417.20609,NA,42_NA_SS-0000_2017-07-15_Sample_1,29,6.762900046,3.643197447,3.500300203,2.467317715,1.266437021,16416.01293,10.36371021,1.449877483,1.250453917,9.711846847,5.787122133,5.614563493,2.785204736,2.652156838,1.689759673,1.30225933,0.536864951,0.543750521,0.916944902,5687.209728,4932.784044,2552.247347,3153.976035,257.5049511,0.342939281,0.297447341,0.153900755,0.190185051,0.015527573,0.354214772,0.307227104,0.158960853,0.19643814,0.016038103,6.698391389,3.872439954,0.222716141,0.970182305,0.578114913,0.383381043,0.206528683,0.198428002,0.13986941,0.071792862,0.652555881,0.351534091,0.337745859,0.23807282,0.122199193,0.937101352,0.139899462,0.541752266,0.163045824,0.26874591,0.558402543,0.255908047,0.120656974
28,48,NA,2017-07-12,Sample,1,1,0.005563431,0.014953387,0.372051571,0.004049733,0.014953387,0.270823781,128.5820599,NA,NA,47.81584992,NA,11793.94196,NA,48_NA_SS-0000_2017-07-12_Sample_1,94,29.21265577,14.05958474,8.723678058,8.653096922,6.298155453,61550.39696,37.79992198,6.467814478,6.520369347,35.83825724,21.91347167,20.37444001,10.24668904,11.58585685,6.444245936,1.290961697,0.570722458,0.576683631,0.898321422,24566.16229,19036.27137,6360.878463,11061.26712,1280.605498,0.394287609,0.305532701,0.102092282,0.177533654,0.020553755,0.40801728,0.316171797,0.105647284,0.183715636,0.021269467,5.541015031,3.150127463,0.320026923,0.929767785,0.568510904,0.43635385,0.21001014,0.130306896,0.129252615,0.094076499,0.772823176,0.371947454,0.23078561,0.22891838,0.166618213,0.948104,0.171106556,0.539007462,0.170483049,0.271076989,0.579722669,0.306504782,0.1724969
29,5,NA,2017-07-22,Duplicate,1,1,0.008634499,0.014253242,0.605791887,0.008882266,0.014253242,0.623175125,100.5997714,NA,NA,35.44214391,NA,8833.249646,NA,5_NA_SS-0000_2017-07-22_Sample_1,31,15.00261688,8.116602233,7.127533522,5.305460514,3.784375418,36259.89843,22.86569913,3.942725915,3.21087655,20.92123441,12.56803434,12.4842818,6.248925904,5.940725615,3.994766035,1.270469483,0.535134836,0.540081382,0.902953274,12616.33738,10989.64483,5197.0481,6781.978346,769.477985,0.347036598,0.302291295,0.142954793,0.186551344,0.02116597,0.356788558,0.310785881,0.146971917,0.191793561,0.021760748,5.306286783,3.166408741,0.257193534,0.993336067,0.596727782,0.381390899,0.206337218,0.181193484,0.134873427,0.096204972,0.656118879,0.35496847,0.311712906,0.232027041,0.16550447,0.914961502,0.172429712,0.545982947,0.174705615,0.273288206,0.54964575,0.259809489,0.140423283
30,5,NA,2017-07-22,Sample,1,1,0.008043044,0.014525926,0.55370264,0.007986829,0.014525926,0.549832699,108.8289795,NA,NA,39.6814045,NA,9709.862217,NA,5_NA_SS-0000_2017-07-22_Sample_1,31,15.00261688,8.116602233,7.127533522,5.305460514,3.784375418,36259.89843,22.86569913,3.942725915,3.21087655,20.92123441,12.56803434,12.4842818,6.248925904,5.940725615,3.994766035,1.270469483,0.535134836,0.540081382,0.902953274,12616.33738,10989.64483,5197.0481,6781.978346,769.477985,0.347036598,0.302291295,0.142954793,0.186551344,0.02116597,0.356788558,0.310785881,0.146971917,0.191793561,0.021760748,5.306286783,3.166408741,0.257193534,0.993336067,0.596727782,0.381390899,0.206337218,0.181193484,0.134873427,0.096204972,0.656118879,0.35496847,0.311712906,0.232027041,0.16550447,0.914961502,0.172429712,0.545982947,0.174705615,0.273288206,0.54964575,0.259809489,0.140423283
31,57,NA,2017-07-30,Sample,1,1,0.008506934,0.016830925,0.505434759,0.006915542,0.016830925,0.410883078,90.92527601,NA,NA,27.45459601,NA,7327.856252,NA,57_NA_SS-0000_2017-07-30_Sample_1,32,30.22570025,6.9700571,2.656336707,6.031673614,6.846026931,45248.85865,32.11712039,6.718395164,6.905709113,28.88119998,19.21831252,16.74547256,6.403692899,11.84488187,3.121571703,1.478154509,0.737576368,0.749425665,0.862112884,25418.0744,9437.255858,1936.870531,7710.297669,1392.004341,0.553837014,0.20562933,0.042202669,0.168000462,0.030330524,0.575812249,0.213788324,0.043877194,0.174666411,0.031533984,4.298824239,2.492481039,0.412392609,0.871328976,0.579805291,0.573218623,0.132184416,0.05037639,0.114388339,0.129832232,0.941108664,0.217019989,0.082707811,0.187802441,0.21315818,0.899246247,0.209184232,0.521387732,0.097193387,0.199385649,0.59838218,0.368802736,0.215016447
32,6,NA,2017-07-17,Sample,1,1,0.009429334,0.015458085,0.609993646,0.007456904,0.015458085,0.482395063,0.304020761,NA,NA,0.103379666,NA,25.96062717,NA,6_NA_SS-0000_2017-07-17_Sample_1,33,0.030187106,0.011941553,0.018032549,0.010392374,0.015577888,71.12539926,0.050792078,0.014686965,0.009165777,0.043140181,0.027819512,0.027820322,0.011287819,0.01249277,0.005784089,1.330633563,0.507178842,0.507996263,0.860218122,25.38561914,16.1685174,13.14845111,13.28458794,3.16745572,0.356766927,0.22723071,0.184787004,0.186700257,0.044515103,0.368742468,0.234858129,0.190989721,0.192967196,0.046009334,2.937310806,1.894218581,0.329463369,1.000029116,0.644881903,0.350477082,0.138643318,0.209360751,0.120657109,0.18086174,0.594327059,0.235106601,0.355026808,0.204606203,0.306699159,0.849348613,0.289158577,0.547729549,0.113877778,0.222235818,0.547713602,0.245959025,0.180456822
33,62,NA,2017-08-05,Sample,2,0.666666667,0.010349795,0.015669934,0.660487444,0.01035595,0.015669934,0.660880262,4.569085589,NA,NA,1.390268236,NA,364.7310499,NA,62_NA_SS-0000_2017-08-05_Sample_1,34,0.278482133,0.178536789,0.329667663,0.147670358,0.067289865,910.1140864,0.638329884,0.074124913,0.060970248,0.565738101,0.322766016,0.361317703,0.157524598,0.117501151,0.085171873,1.279068494,0.420754452,0.427063385,0.925970812,234.1874473,241.733652,240.3775017,188.7672467,13.68206472,0.254898481,0.263112056,0.261635971,0.205461416,0.014892077,0.262594242,0.271055797,0.269535146,0.211664599,0.015341691,7.632226172,4.874443536,0.168744148,1.119441593,0.638666023,0.278024281,0.178243256,0.329125656,0.147427574,0.067179233,0.436266796,0.279693609,0.516453438,0.231338626,0.105415501,0.886278577,0.116123207,0.566036014,0.133429243,0.246776161,0.5056414,0.184075905,0.095515265
34,71,NA,2017-08-05,Sample,2,0.5,0.010983153,0.015404526,0.712982208,0.011205614,0.015404526,0.727423435,0.635783936,NA,NA,0.189738896,NA,50.08315613,NA,71_NA_SS-0000_2017-08-05_Sample_1,35,0.04586797,0.025927418,0.043115089,0.019942525,0.013047783,131.8940642,0.092315863,0.012327452,0.013249541,0.082136742,0.047668309,0.05160719,0.021747477,0.019954205,0.01254596,1.281737099,0.442887656,0.447440209,0.910154487,38.57232267,35.10497491,31.43741003,25.49255981,2.653008898,0.289451018,0.263431653,0.235909837,0.191299017,0.019908475,0.299223852,0.272325986,0.243874941,0.197757911,0.020580652,6.662913147,4.186363086,0.256738276,1.08263102,0.628308218,0.310126614,0.175302777,0.291513595,0.134837179,0.088219835,0.496859024,0.280855504,0.467038796,0.216024894,0.14133847,0.889735949,0.133535577,0.559028409,0.135902537,0.235576815,0.516360975,0.216151421,0.14352399
35,8,NA,2017-07-22,Sample,1,1,0.013537713,0.013072799,1.035563419,0.013693688,0.013072799,1.04749469,0.258239411,NA,NA,0.081461131,NA,21.16031921,NA,8_NA_SS-0000_2017-07-22_Sample_1,37,0.017656625,0.011869687,0.010586612,0.007223533,0.012644791,50.14464934,0.031544143,0.010926833,0.010007122,0.027340276,0.015453836,0.016831566,0.00847824,0.010051216,0.006015151,1.217555714,0.434316059,0.439992519,0.846245631,14.84820559,16.07121313,7.719238846,9.233853264,2.571068434,0.294352736,0.318597795,0.153027183,0.183053094,0.050969191,0.305018489,0.330142057,0.158572061,0.189685949,0.052816039,2.502122619,1.540388327,0.594544916,1.089151328,0.615632629,0.294369085,0.197889963,0.1764987,0.120429853,0.210812399,0.559743377,0.376288143,0.335612616,0.228997596,0.40086018,0.866730664,0.346398157,0.533587677,0.190689948,0.268773826,0.489911423,0.318639692,0.317241841
36,8,NA,2017-07-22,Discard,1,1,0.011663081,0.012954257,0.900328042,0.012170971,0.012954257,0.939534511,0.27577828,NA,NA,0.09407158,NA,23.65646732,NA,8_NA_SS-0000_2017-07-22_Sample_1,37,0.017656625,0.011869687,0.010586612,0.007223533,0.012644791,50.14464934,0.031544143,0.010926833,0.010007122,0.027340276,0.015453836,0.016831566,0.00847824,0.010051216,0.006015151,1.217555714,0.434316059,0.439992519,0.846245631,14.84820559,16.07121313,7.719238846,9.233853264,2.571068434,0.294352736,0.318597795,0.153027183,0.183053094,0.050969191,0.305018489,0.330142057,0.158572061,0.189685949,0.052816039,2.502122619,1.540388327,0.594544916,1.089151328,0.615632629,0.294369085,0.197889963,0.1764987,0.120429853,0.210812399,0.559743377,0.376288143,0.335612616,0.228997596,0.40086018,0.866730664,0.346398157,0.533587677,0.190689948,0.268773826,0.489911423,0.318639692,0.317241841
37,9-alt,NA,2017-07-17,Discard,1,1,0.007364678,0.015202587,0.484435874,0.008009973,0.015202587,0.526882217,8.453444619,NA,NA,2.986620565,NA,746.4043394,NA,9-alt_NA_SS-0000_2017-07-17_Sample_1,39,1.467477845,0.640132185,0.751186653,0.472967231,0.314700767,3270.010429,2.227650094,0.335010948,0.29634406,2.058228468,1.232029731,1.198338911,0.528593738,0.582404818,0.291946562,1.329809327,0.534903218,0.537624925,0.907471785,1234.064414,866.7204774,547.7284892,604.5947403,63.98818444,0.37203153,0.26128891,0.165122878,0.182266261,0.019290421,0.38529986,0.270607656,0.171011908,0.188766701,0.019978405,6.143764794,3.577014179,0.2472957,0.972654215,0.582218607,0.402438519,0.175548714,0.206004094,0.129705694,0.08630298,0.658755991,0.2873576,0.337210343,0.212316662,0.141270287,0.923946033,0.150387599,0.537938572,0.131055843,0.237287597,0.5530625,0.261443581,0.133029896
38,9-alt,NA,2017-07-17,Sample,1,1,0.011169214,0.015250972,0.732360801,0.010851965,0.015250972,0.711558886,9.400344737,NA,NA,2.88344525,NA,758.9962727,NA,9-alt_NA_SS-0000_2017-07-17_Sample_1,39,1.467477845,0.640132185,0.751186653,0.472967231,0.314700767,3270.010429,2.227650094,0.335010948,0.29634406,2.058228468,1.232029731,1.198338911,0.528593738,0.582404818,0.291946562,1.329809327,0.534903218,0.537624925,0.907471785,1234.064414,866.7204774,547.7284892,604.5947403,63.98818444,0.37203153,0.26128891,0.165122878,0.182266261,0.019290421,0.38529986,0.270607656,0.171011908,0.188766701,0.019978405,6.143764794,3.577014179,0.2472957,0.972654215,0.582218607,0.402438519,0.175548714,0.206004094,0.129705694,0.08630298,0.658755991,0.2873576,0.337210343,0.212316662,0.141270287,0.923946033,0.150387599,0.537938572,0.131055843,0.237287597,0.5530625,0.261443581,0.133029896
39,BL,BL,2016-07-13,Field Blank,1,1,0.009839292,0.0274468,0.358485943,0.009427903,0.0274468,0.343497357,0.851019399,NA,NA,0.201573399,NA,59.673253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,BL,BL,2016-07-19,Field Blank,1,1,-0.004556108,0.013190991,-0.34539539,0.002084368,0.013190991,0.158014514,0.754393069,NA,NA,0.311065569,NA,80.02467642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,BL,BL,2016-07-19,Field Blank 2,1,1,-0.056358242,0.015201932,-3.707307816,-0.041874569,0.015201932,-2.75455568,0.001557479,NA,NA,0.280717098,NA,50.41763276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,BL,BL,2016-08-09,Field Blank 2,1,1,-0.013890984,0.009475935,-1.465922317,-0.007838375,0.009475935,-0.827187492,0.120874029,NA,NA,0.070898929,NA,16.54838782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,BL,BL,2016-08-09,Field Blank,1,1,0.036952825,0.013451587,2.747097712,0.027730675,0.013451587,2.061516891,0.312808382,NA,NA,0.045705539,NA,16.50622034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,BL,BL,2017-08-07,Field Blank,1,1,-0.002692323,0.013270586,-0.20287899,0.000581387,0.013270586,0.043810187,2.489030592,NA,NA,0.982868592,NA,246.578245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,DC-3,NA,2017-07-27,Sample,1,1,0.009435664,0.015299319,0.616737503,0.009371595,0.015299319,0.612549834,46.81953887,NA,NA,16.07679187,NA,4009.144447,NA,DC-3_NA_SS-0000_2017-07-27_Sample_1,46,7.194691747,2.978949722,3.374191347,2.210728321,1.365133574,15514.34529,10.9984277,1.436527392,1.408594258,9.587657698,5.785024872,5.720525097,2.483030924,2.788008465,1.359377356,1.341419822,0.552886641,0.555126463,0.905201305,6050.3217,4033.411824,2460.29495,2825.977417,277.5729456,0.386661845,0.257765873,0.15723167,0.180601577,0.017739035,0.399565086,0.266367744,0.162478627,0.186628408,0.018331002,6.674190657,3.982190057,0.246235133,0.988850562,0.596655124,0.42016001,0.173966528,0.197048091,0.129103465,0.079721906,0.654156389,0.270852326,0.306788519,0.201004033,0.124120794,0.871729847,0.130612068,0.52012208,0.123597426,0.225762354,0.525986535,0.253491548,0.12807233
46,DC-4,NA,2017-07-27,Sample,1,1,0.007414366,0.015289489,0.484932214,0.007532048,0.015289489,0.492629141,16.22747388,NA,NA,5.920663106,NA,1444.548071,NA,DC-4_NA_SS-0000_2017-07-27_Sample_1,47,2.018293454,0.764511545,0.897836538,0.612310589,0.67466164,4319.222111,2.93675757,0.688549992,0.45921383,2.61521666,1.636045349,1.576353658,0.658021218,0.789391319,0.341839467,1.365503346,0.567225872,0.569469981,0.883472792,1697.26864,1035.126536,654.6583974,782.7175684,137.1791174,0.394076676,0.240338633,0.152000455,0.181733598,0.031850639,0.407757328,0.248682159,0.157277258,0.188042609,0.032956356,3.798150738,2.289381565,0.291313962,0.963514648,0.602762166,0.406290334,0.153899152,0.180737992,0.123260506,0.135812016,0.68725232,0.260325045,0.30572375,0.208498854,0.22973011,0.890511592,0.234459255,0.536766696,0.116400302,0.224063854,0.557092409,0.268796896,0.156367633
47,NaOH,NaOH,2019-01-10,Analytical Blank,1,1,0.070604316,0.020247487,3.487065595,0.053961832,0.020247487,2.665112555,6.33670372,NA,NA,0.54235572,NA,248.234269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NaOH,NaOH,2019-01-14,Analytical Blank,1,1,-0.057499768,0.00840696,-6.839543273,-0.035616021,0.00840696,-4.236492174,0.053133032,NA,NA,0.470636303,NA,77.94977746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,SA,DN,2016-07-29,Sample,1,1,0.007689735,0.015903676,0.483519332,0.006232086,0.015903676,0.391864529,8.497572901,1396.769153,0.006083735,3.006775159,0.002152664,743.308483,0.532162728,SA_DN_SS-0000_2016-07-29_Sample_1,55,1.107787306,0.427629716,0.523937743,0.348738695,0.40351418,2418.850833,1.6510053,0.414192755,0.250444121,1.467122809,0.90002604,0.893954037,0.372447776,0.438102627,0.193748707,1.365514663,0.56232364,0.564129372,0.879565749,931.5853703,578.9982759,382.0297223,445.7932103,82.04663757,0.384880552,0.239210687,0.157833963,0.184177578,0.033897221,0.3985169,0.24768594,0.163426032,0.190703004,0.035098202,3.542125716,2.158304379,0.280153241,0.993253525,0.609324612,0.394004942,0.152094378,0.186348101,0.124035335,0.143517244,0.670977438,0.259011716,0.317344677,0.211228089,0.244405139,0.888623924,0.250873062,0.541460428,0.117351959,0.22558848,0.545138189,0.26535507,0.151691894
50,SA,IN,2016-07-29,Sample,1,1,0.009115074,0.014874404,0.612802634,0.009300544,0.014874404,0.625271723,212.4953366,30505,0.006965918,70.11236159,0.002298389,18007.6271,0.59031723,SA_IN_SS-0000_2016-07-29_Sample_1,56,35.20111572,15.02633994,15.08233438,11.33036291,6.944261935,76100.90938,50.24123793,7.525984956,6.736575111,46.52644725,27.68912872,26.44305428,12.17901725,13.75638714,6.805916823,1.359419685,0.58217779,0.586103698,0.905879006,29602.11247,20345.22997,10997.299,14483.62036,1411.978488,0.38524232,0.264773118,0.143119008,0.188490045,0.018375508,0.399642979,0.274670544,0.148468909,0.19553595,0.019062399,6.182107395,3.513567252,0.254757829,0.954997701,0.568344583,0.421144489,0.179774423,0.180444338,0.135555928,0.083080822,0.700641886,0.299083792,0.300198303,0.225519183,0.138218368,0.926060925,0.149796965,0.52632171,0.135464752,0.242410772,0.551123536,0.273806692,0.134084577
51,SA,UP,2016-07-29,Sample,2,0.666666667,0.011554827,0.016054764,0.719713293,0.011708364,0.016054764,0.729276601,2.436278913,13.58695106,0.1793102,0.72265104,0.053187138,190.7130996,14.03648977,SA_UP_SS-0000_2016-07-29_Sample_1,58,0.149827778,0.06822285,0.183102422,0.068791421,0.044826362,446.3150382,0.360223873,0.045155933,0.035652624,0.292292671,0.181694399,0.199587668,0.071264074,0.062605429,0.033189628,1.31071383,0.422921196,0.425414316,0.908068868,125.9965383,92.37176698,133.5093114,87.93617958,9.114555228,0.280660684,0.2057606,0.297395589,0.19588021,0.020302917,0.288977647,0.21185801,0.306208465,0.201684829,0.020904564,6.472962722,4.419965545,0.178631397,1.098480025,0.682835007,0.29105724,0.132530527,0.355696963,0.133635041,0.087080229,0.415929617,0.189390141,0.50830174,0.190968523,0.124440287,0.811419489,0.125355193,0.554065632,0.092136114,0.197832735,0.504392997,0.173795891,0.098973518
52,SB,DN,2016-07-12,Sample,1,1,0.009428092,0.016184075,0.582553625,0.009428784,0.016184075,0.582596369,120.91404,36012.22222,0.003357583,39.35713331,0.001092883,10049.11162,0.279047251,SB_DN_SS-0000_2016-07-12_Sample_1,60,23.26633327,8.356890915,7.357336886,6.336960896,4.7677923,44809.94728,30.74919122,4.874910033,4.582983364,27.96808379,16.99594168,15.81481132,6.943128285,9.100128054,3.708312631,1.369107936,0.614844658,0.617105601,0.895159297,19565.64729,11314.98876,5364.60945,8100.546872,969.4363818,0.431767594,0.24969506,0.118384252,0.178759925,0.02139317,0.447773596,0.258951474,0.12277286,0.185386711,0.022186233,5.737148706,3.24412373,0.289790581,0.930505153,0.565459237,0.464534038,0.166853119,0.146896091,0.126523333,0.095193419,0.756648626,0.271775958,0.239269281,0.20608545,0.155054234,0.909555103,0.158537829,0.514316335,0.120598705,0.225798729,0.552728088,0.295946908,0.14904403
