,slumpsite,streamloc,sampdate,samptype,repnum,dilfac,coef275295,coef350400,SR,coef275295int,coef350400int,SRint,a254naperian,TSSmgL,a254napTSSstd,a350naperian,a350napTSSstd,atot250450,atot250450TSSstd,sampcode,i,Fmax1,Fmax2,Fmax3,Fmax4,Fmax5,Ftot,Fmax,B,T,A,M,C,D,N,E,FluI,FrI,BIX,HIX,v1,v2,v3,v4,v5,rvm1,rvm2,rvm3,rvm4,rvm5,rvx1,rvx2,rvx3,rvx4,rvx5,pkAB,pkCB,pkTC,pkCM,pkCA,prcntC1,prcntC2,prcntC3,prcntC4,prcntC5,normC1,normC2,normC3,normC4,normC5,normA,normB,normC,normE,normD,normM,normN,normT
11,20,NA,2017-07-22,Sample,1,1,0.007505493,0.014732163,0.509463085,0.007808433,0.014732163,0.530026262,121.9319792,NA,NA,42.50726674,NA,10731.07365,NA,20_NA_SS-0000_2017-07-22_Sample_1,11,18.59311638,8.794888358,8.112382154,6.206443504,3.850865006,41715.32843,26.67232427,4.056980149,3.836939733,25.00887811,14.94609622,14.59653173,6.949131201,7.406263774,4.043739381,1.311211839,0.555416219,0.560369046,0.905906017,15635.74083,11908.02464,5915.151451,7933.706289,782.9973293,0.37072936,0.282343792,0.14025049,0.188111193,0.018565164,0.383039513,0.291719082,0.144907539,0.194357468,0.019181625,6.164407316,3.597880984,0.262866536,0.976611653,0.583653999,0.408122409,0.193049457,0.178068317,0.136232605,0.084527213,0.697093969,0.329738356,0.304149802,0.232692263,0.144376807,0.937634001,0.152104485,0.547253834,0.151608062,0.260537144,0.560359722,0.27767598,0.14385472
12,23,NA,2017-07-20,Discard,1,1,0.006150815,0.014521004,0.423580523,0.007917965,0.014521004,0.545276641,55.18688366,NA,NA,20.03158866,NA,4982.180684,NA,23_NA_SS-0000_2017-07-20_Sample_1,14,11.75424455,5.990450382,5.395144552,3.909672272,2.769938161,27203.75767,17.29310284,3.074151245,2.272310131,16.20937941,9.693960794,9.219000125,4.513780241,4.548905966,2.786707527,1.301966946,0.536947587,0.542723733,0.908159644,9884.643199,8110.896676,3933.874974,4997.740086,563.2122079,0.359567522,0.295045047,0.143100125,0.181799685,0.02048762,0.372224724,0.305430982,0.148137419,0.188199249,0.021208809,5.272798284,2.998876565,0.246481191,0.951004478,0.568744792,0.394180462,0.200890707,0.180927031,0.131111482,0.092890317,0.679707086,0.346406914,0.311982448,0.226082752,0.160175891,0.937332043,0.177767476,0.533102718,0.161145605,0.261016215,0.560568042,0.263047413,0.131399793
13,23,NA,2017-07-20,Sample,1,1,0.007718429,0.01480507,0.521336862,0.006087655,0.01480507,0.411187194,70.10553406,NA,NA,24.40825656,NA,6146.507187,NA,23_NA_SS-0000_2017-07-20_Sample_1,14,11.75424455,5.990450382,5.395144552,3.909672272,2.769938161,27203.75767,17.29310284,3.074151245,2.272310131,16.20937941,9.693960794,9.219000125,4.513780241,4.548905966,2.786707527,1.301966946,0.536947587,0.542723733,0.908159644,9884.643199,8110.896676,3933.874974,4997.740086,563.2122079,0.359567522,0.295045047,0.143100125,0.181799685,0.02048762,0.372224724,0.305430982,0.148137419,0.188199249,0.021208809,5.272798284,2.998876565,0.246481191,0.951004478,0.568744792,0.394180462,0.200890707,0.180927031,0.131111482,0.092890317,0.679707086,0.346406914,0.311982448,0.226082752,0.160175891,0.937332043,0.177767476,0.533102718,0.161145605,0.261016215,0.560568042,0.263047413,0.131399793
14,23,NA,2017-07-20,Duplicate,1,1,0.005289568,0.015051768,0.351425048,0.006919949,0.015051768,0.459743266,52.40980343,NA,NA,19.22357343,NA,4764.80277,NA,23_NA_SS-0000_2017-07-20_Sample_1,14,11.75424455,5.990450382,5.395144552,3.909672272,2.769938161,27203.75767,17.29310284,3.074151245,2.272310131,16.20937941,9.693960794,9.219000125,4.513780241,4.548905966,2.786707527,1.301966946,0.536947587,0.542723733,0.908159644,9884.643199,8110.896676,3933.874974,4997.740086,563.2122079,0.359567522,0.295045047,0.143100125,0.181799685,0.02048762,0.372224724,0.305430982,0.148137419,0.188199249,0.021208809,5.272798284,2.998876565,0.246481191,0.951004478,0.568744792,0.394180462,0.200890707,0.180927031,0.131111482,0.092890317,0.679707086,0.346406914,0.311982448,0.226082752,0.160175891,0.937332043,0.177767476,0.533102718,0.161145605,0.261016215,0.560568042,0.263047413,0.131399793
15,26,NA,2017-07-14,Sample,2,0.333333333,0.007864325,0.015758373,0.499056898,0.008469323,0.015758373,0.537449057,0.577931113,NA,NA,0.216443859,NA,51.27197838,NA,26_NA_SS-0000_2017-07-14_Sample_1,15,0.017649032,0.007243243,0.017745235,0.008420399,0.010410238,52.72061601,0.037299061,0.008730345,0.005146516,0.030346817,0.020395498,0.021890661,0.008349082,0.00729868,0.002832483,1.343310493,0.452159898,0.454069119,0.860701876,14.84182056,9.807141228,12.93895566,10.76380914,2.116716341,0.294081206,0.194322247,0.256377152,0.213278011,0.041941384,0.298980195,0.197559388,0.260648043,0.21683093,0.04264007,3.476015782,2.507422215,0.235100987,1.073308482,0.721349491,0.287124846,0.117837334,0.288689927,0.136988008,0.169359885,0.47317632,0.1941937,0.475755544,0.225753648,0.27910189,0.813608069,0.234063399,0.586895767,0.075939794,0.223841614,0.546809959,0.195679993,0.137979774
16,27,NA,2017-07-12,Sample,2,0.666666667,0.012413611,0.014668788,0.846260208,0.012325783,0.014668788,0.840272793,0.257309744,NA,NA,0.080197529,NA,20.83276413,NA,27_NA_SS-0000_2017-07-12_Sample_1,92,0.014131392,0.007517221,0.012681729,0.006155431,0.005984711,40.2974722,0.028802683,0.005333228,0.004901764,0.024280529,0.014381122,0.01567612,0.006586336,0.006463661,0.003639676,1.316864265,0.448605362,0.453756906,0.887870426,11.88368755,10.17810039,9.246895247,7.868496317,1.216872691,0.294193994,0.251970274,0.228917248,0.194793438,0.030125046,0.303690792,0.260104059,0.236306864,0.201081514,0.031097505,4.552689103,2.939330552,0.312689875,1.090048468,0.645625143,0.304093933,0.161763354,0.272898581,0.132458929,0.128785203,0.490627633,0.260990315,0.440296796,0.213710317,0.207783096,0.84299539,0.185164278,0.544259019,0.126365867,0.228670919,0.499297999,0.224411767,0.170184285
17,3,NA,2017-07-22,Sample,2,0.5,0.011282809,0.015241747,0.740256911,0.011627427,0.015241747,0.762867051,0.36122666,NA,NA,0.11289417,NA,29.17802413,NA,3_NA_SS-0000_2017-07-22_Sample_1,17,0.016890191,0.008976683,0.020639619,0.008147109,0.008782826,54.07401352,0.041360407,0.007923856,0.006098539,0.03350702,0.020472781,0.022846173,0.00869117,0.00808117,0.004292798,1.286788277,0.392551189,0.395617798,0.887652259,14.2036787,12.15416984,15.04939863,10.41446206,1.785814208,0.264956816,0.226725076,0.280732958,0.194272397,0.033312753,0.272429358,0.233119374,0.288650433,0.199751436,0.034252269,4.228625558,2.883214056,0.266939194,1.115929145,0.681832434,0.266253814,0.141506758,0.325359095,0.128429504,0.138450829,0.408366173,0.217035663,0.499018762,0.196978455,0.21234864,0.810123073,0.191580707,0.552368186,0.103790033,0.210132603,0.494984999,0.195384199,0.147448718
18,30,NA,2017-07-14,Sample,3,0.25,0.011110668,0.015926692,0.697613029,0.011683986,0.015926692,0.733610335,0.842445974,NA,NA,0.252914822,NA,66.46411083,NA,30_NA_SS-0000_2017-07-14_Sample_1,19,0.040001261,0.017649521,0.034950499,0.01953777,0.018729666,114.3832423,0.080437152,0.015969377,0.010834545,0.068324496,0.040636617,0.043980477,0.019162335,0.016827348,0.006495904,1.354699781,0.484249863,0.488906759,0.872023725,33.63875824,23.89694181,25.4841907,24.975162,3.808307592,0.300874304,0.213740819,0.22793761,0.223384717,0.03406255,0.309299064,0.21972576,0.234320074,0.229639696,0.035016333,4.278469724,2.754050894,0.246348965,1.082286869,0.643699984,0.305659455,0.134864326,0.267065342,0.149292901,0.143117976,0.497298323,0.219420018,0.434506916,0.242894855,0.232848448,0.849414659,0.198532352,0.546768202,0.080757509,0.238227418,0.505197113,0.209198705,0.134695781
19,31,NA,2017-07-29,Sample,1,1,0.006241349,0.0213186,0.292765448,0.008286149,0.0213186,0.388681654,0.034255062,NA,NA,0.010055138,NA,2.762860683,NA,31_NA_SS-0000_2017-07-29_Sample_1,20,0.005928824,0.000923379,0.001655409,0.002112158,0.004023029,10.88089411,0.00749676,0.003549485,0.002264461,0.006429187,0.004663644,0.004427977,0.001894037,0.002689615,0.000542476,1.668115781,0.747495451,0.766849472,0.777505133,4.985800029,1.250228408,1.207043125,2.699974933,0.818003553,0.454865182,0.114061007,0.110121122,0.246324478,0.074628211,0.470242179,0.11791691,0.113843834,0.254651629,0.077151063,1.811301358,1.24749844,0.511398546,0.949467198,0.688730472,0.404896906,0.063060273,0.113052767,0.144245508,0.274744547,0.790851555,0.123170403,0.220816596,0.281742791,0.536635743,0.857595415,0.473469205,0.590652095,0.072361393,0.25264741,0.622087942,0.358770322,0.302058623
20,32,NA,2017-07-29,Sample,1,1,-0.006170368,0.020480583,-0.301278922,-0.002543237,0.020480583,-0.12417794,0.022678116,NA,NA,0.009551016,NA,2.365396208,NA,32_NA_SS-0000_2017-07-29_Sample_1,21,0.00569476,0.000809343,0.002051642,0.002019832,0.003500902,10.71524665,0.0076884,0.003059297,0.002021886,0.006295048,0.004997645,0.00466333,0.001785603,0.002454589,0.000506285,1.647504197,0.706310304,0.721092179,0.783357753,4.788965825,1.095826774,1.495956649,2.58195388,0.711839326,0.448634295,0.102657962,0.140142461,0.241879583,0.066685699,0.458802138,0.104984601,0.143318648,0.24736154,0.068197063,2.057677957,1.524314246,0.433571289,0.933105493,0.740793398,0.404558588,0.057496112,0.145749644,0.143489833,0.248705823,0.740695135,0.105268042,0.266848994,0.262711569,0.455348616,0.818772176,0.397910749,0.606541023,0.065850502,0.232246371,0.650024062,0.319258753,0.262978773
