OID_,Name,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name_1,LakeAddChe,Shape_Leng,Shape_Length,Shape_Area,Area_km2,Area_km2geodesic
61,R/Cv,4,0,site31,Y,15583.04631,2909.202917,358648.527,0.358648527,0.358908183
62,R/Cv,4,0,site31,Y,15583.04631,2909.202917,358648.527,0.358648527,0.358908183
63,R/Cv,5,0,site32,Y,17714.52385,734.9700426,26382.74978,0.02638275,0.026401747
64,R/Cv,5,0,site32,Y,17714.52385,734.9700426,26382.74978,0.02638275,0.026401747
65,R/Cv,4,0,site31,Y,15583.04631,1507.955066,109239.7717,0.109239772,0.109320465
66,R/Cv,4,0,site31,Y,15583.04631,1507.955066,109239.7717,0.109239772,0.109320465
67,R/Cv,45,0,S3INTSINFLOW3160730,Y,35682.3182,7358.463542,1779393.562,1.779393562,1.780742716
68,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,7358.463542,1779393.562,1.779393562,1.780742716
69,MpMbMpv,44,0,S3UPTS6160730,Y,25887.85677,4701.277152,136068.5048,0.136068505,0.136165838
70,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,4701.277152,136068.5048,0.136068505,0.136165838
71,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,31307.82984,7461693.185,7.461693185,7.467651386
72,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,31307.82984,7461693.185,7.461693185,7.467651386
73,R/Cv,45,0,S3INTSINFLOW3160730,Y,35682.3182,5541.178304,408515.1173,0.408515117,0.40882567
74,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,5541.178304,408515.1173,0.408515117,0.40882567
75,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,2800.778712,114200.1216,0.114200122,0.11428464
76,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,2800.778712,114200.1216,0.114200122,0.11428464
77,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,2800.778712,114200.1216,0.114200122,0.11428464
78,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,33406.12599,4788427.795,4.788427795,4.792577512
79,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,33406.12599,4788427.795,4.788427795,4.792577512
80,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,33406.12599,4788427.795,4.788427795,4.792577512
81,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,575.3384532,14074.42848,0.014074428,0.01408522
82,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,575.3384532,14074.42848,0.014074428,0.01408522
83,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,575.3384532,14074.42848,0.014074428,0.01408522
84,Mv,9,0,site27,Y,7068.348341,4257.190397,503726.5248,0.503726525,0.504121178
85,Mv,45,0,S3INTSINFLOW3160730,Y,35682.3182,4257.190397,503726.5248,0.503726525,0.504121178
86,Mv,46,0,S3DNTS7160730,Y,39206.58459,4257.190397,503726.5248,0.503726525,0.504121178
87,Mv,16,0,SDDNTS400150704,Y,7087.512259,2621.422625,19802.04197,0.019802042,0.019817392
88,Mv,45,0,S3INTSINFLOW3160730,Y,35682.3182,2621.422625,19802.04197,0.019802042,0.019817392
89,Mv,46,0,S3DNTS7160730,Y,39206.58459,2621.422625,19802.04197,0.019802042,0.019817392
90,Cx,58,0,siteSC-9A,Y,258694.6456,31254.83363,6713894.76,6.71389476,6.718944412
91,Cx,59,0,siteSCoutlet170710,Y,263523.1099,31254.83363,6713894.76,6.71389476,6.718944412
92,Cx,60,0,siteSCoutlet170807,Y,267972.9067,31254.83363,6713894.76,6.71389476,6.718944412
93,Cx,58,0,siteSC-9A,Y,258694.6456,181.7264265,872.6754285,0.000872675,0.00087321
94,Cx,59,0,siteSCoutlet170710,Y,263523.1099,181.7264265,872.6754285,0.000872675,0.00087321
95,Cx,60,0,siteSCoutlet170807,Y,267972.9067,181.7264265,872.6754285,0.000872675,0.00087321
96,Cx,58,0,siteSC-9A,Y,258694.6456,311.3979362,860.1507148,0.000860151,0.00086051
97,Cx,59,0,siteSCoutlet170710,Y,263523.1099,311.3979362,860.1507148,0.000860151,0.00086051
98,Cx,60,0,siteSCoutlet170807,Y,267972.9067,311.3979362,860.1507148,0.000860151,0.00086051
99,MhMrMm,58,0,siteSC-9A,Y,258694.6456,14674.88962,2929920.471,2.929920471,2.932218691
100,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,14674.88962,2929920.471,2.929920471,2.932218691
101,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,14674.88962,2929920.471,2.929920471,2.932218691
102,ApAt,58,0,siteSC-9A,Y,258694.6456,15889.99531,3467192.014,3.467192014,3.470162986
103,ApAt,59,0,siteSCoutlet170710,Y,263523.1099,15889.99531,3467192.014,3.467192014,3.470162986
104,ApAt,60,0,siteSCoutlet170807,Y,267972.9067,15889.99531,3467192.014,3.467192014,3.470162986
105,Cx,58,0,siteSC-9A,Y,258694.6456,408.2039679,3074.648342,0.003074648,0.003077316
106,Cx,59,0,siteSCoutlet170710,Y,263523.1099,408.2039679,3074.648342,0.003074648,0.003077316
107,Cx,60,0,siteSCoutlet170807,Y,267972.9067,408.2039679,3074.648342,0.003074648,0.003077316
108,MhMrMm,58,0,siteSC-9A,Y,258694.6456,31903.39227,8855881.831,8.855881831,8.862917122
109,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,31903.39227,8855881.831,8.855881831,8.862917122
110,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,31903.39227,8855881.831,8.855881831,8.862917122
111,Cx,58,0,siteSC-9A,Y,258694.6456,6546.067663,948271.2413,0.948271241,0.948940397
112,Cx,59,0,siteSCoutlet170710,Y,263523.1099,6546.067663,948271.2413,0.948271241,0.948940397
113,Cx,60,0,siteSCoutlet170807,Y,267972.9067,6546.067663,948271.2413,0.948271241,0.948940397
114,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,54155.49964,26412928.37,26.41292837,26.43450737
115,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,54155.49964,26412928.37,26.41292837,26.43450737
116,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,54155.49964,26412928.37,26.41292837,26.43450737
117,Cx,43,0,S2DNTS5160617,Y,24551.93494,1145.035118,13454.76983,0.01345477,0.013465023
118,Cx,44,0,S3UPTS6160730,Y,25887.85677,1145.035118,13454.76983,0.01345477,0.013465023
119,Cx,46,0,S3DNTS7160730,Y,39206.58459,1145.035118,13454.76983,0.01345477,0.013465023
120,R/Cv,7,0,site42,Y,11471.6213,9050.594263,2819877.113,2.819877113,2.822028944
121,R/Cv,45,0,S3INTSINFLOW3160730,Y,35682.3182,9050.594263,2819877.113,2.819877113,2.822028944
122,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,9050.594263,2819877.113,2.819877113,2.822028944
123,R/Cv,9,0,site27,Y,7068.348341,129.8472064,293.840053,0.00029384,0.000294024
