sampletype,endmembertype,headwallcat,slumpsite,streamlocation,PERIstreamloc,lat_dd,long_dd,samplingdate,samplingtime,timenotes,headwallsamplingnotes,headwallcollector,headwallapproxdepth_m,MaxHeadwallHeight_m,SlumpArea_ha,DebrisTongue_m,GLdist_m,maxelev_m,maxslope_perc,avg_downstream_streampower,Discharge_m3s,StreamVelocity_avg_ms,StreamVelocity_stdev_ms,StreamVelocity_count_ms,WatershedArea_km2,YSITemp_degC,YSI_Atm,YSI_DOpcnt,YSI_DOmgL,YSI_Cond,YSI_pH,RainTot96h_mm,AirTavg96h_degC,NetTotRad24h_Wm2,PCmgL,POCmgL,DOCmgL,PNmgL,TDNugL,DINugL,DONmgL,NH3ugL,NO2NO3ugL,NO2NO3ugLMDL,TPPugL,POPugL,TDPugL,TDPugLMDL,SRPugL,DOPugL,DOPugL.loq,percPOC,percPOC.imp,percPC,percPN,percPOP,percTPP,POCTSS,PNPCTSS,TPPTSS,POPTSS,TSSavg,TSSsd,TSScv,TSScount,PO13C,PO13C.imp,POCtoPOP,POCtoPOP.imp,POCtoPN,POCtoPN.imp,P15N,DOCtoDON,DOCtoDOP,DOCtoDOP.loq,F14C_A,F14C_DIC,F14C_POC,F14Cerror_A,F14Cerror_DIC,F14Cerror_POC,SR,a254naperian,a350naperian,atot250450,atot250450TSSstd,HIX,pkAB,pkCB,pkTC,prcntC1,prcntC2,prcntC3,prcntC4,prcntC5,Fmax1,Fmax2,Fmax3,Fmax4,Fmax5,Fmax,Ftot,A,B,C,T,M,D,N,E
Stream,NA,DN,HB,DN,NA,67.24031333,-135.82011,2015-07-28,1899-12-31 16:08:00,NA,NA,NA,NA,7.1,13.6,257,-3215.1,665.92,34.6,17.24008906,0.1049,0.557970405,0.381763941,4,1.0242,8.3,0.9954,NA,NA,190,7.7,20.63333333,8.500651036,117.1931593,94.773,82.141,6.964,12.261,351,135,0.216,116,19,NA,5999.799243,2496.688015,7,NA,8.947157661,-1.947157661,2.45,1.919182243,NA,2.21432243,0.286471963,0.060306474,0.130175727,4280,4280,4609,4140,4327,199,4.600848632,4,-26.68,NA,84.84404133,NA,7.812708143,NA,1.52,37.59867313,-9223.23517,7330.24205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stream,NA,DN,HD,DN,NA,67.40087333,-135.3342233,2015-06-18,1899-12-31 12:34:00,NA,NA,NA,NA,11.7,1.8,137,23713.27,323.27,65.2,0,0.678,0.720103246,0.365937344,10,18.2976,5.4,0.9685,133.1,16.75,66.9,5.95,20.6,8.453727425,73.99343708,11.26370968,11.25730159,11.87,0.969516129,317,40,0.277,39,1,"< MDL of 2 ug/L, half of value input",846.9845183,452.4195387,12,NA,4.91339907,7.08660093,7.08660093,1.846901042,NA,2.006752874,0.172729885,0.070142564,0.148593775,609.5238095,561.2903226,570,645,596.5,38.6,6.46720601,4,-26.76,NA,64.16801223,NA,13.54087628,NA,1.65,49.97334927,4319.548748,4319.548748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stream,NA,DN,HD,DN,NA,67.40087333,-135.3342233,2015-07-28,1899-12-31 13:10:00,NA,NA,NA,NA,11.7,1.8,137,23713.27,323.27,65.2,0,0.05684,0.364845185,0.093648588,8,18.2976,10,0.9948,NA,NA,540,6.25,20.6,8.453727425,73.99343708,263.906,241.0726034,10.37,22.478,706,410,0.296,376,34,NA,15141.58012,6188.826167,5,NA,4.696880327,0.303119673,2.45,1.826307601,NA,2.017629969,0.171850153,0.049909888,0.14629546,13200,13080,10350,12400,12260,1320,10.76528533,4,-26.69,NA,100.4535319,NA,12.50713099,NA,1.38,40.85587845,88224.71619,10915.36618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stream,NA,DN,SD,DN,NA,NA,NA,2015-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stream,NA,DN,SD,DN,NA,NA,NA,2015-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.51,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stream,NA,DN,SD,DN,NA,NA,NA,2016-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.640203335,34.70022107,11.51654011,2934.993674,1.303639393,0.912465931,7.628209339,4.502410403,0.187872297,0.364100605,0.200987037,0.234472308,0.134452666,0.065987384,3.390833002,1.871772438,2.183617467,1.25214441,0.614533994,5.646079246,8605.345807,5.259225364,0.689444289,3.104161139,0.583185883,3.047837023,1.415551488,1.327141709,0.856832355
Stream,NA,DN,SD,DN,NA,67.18119667,-135.7278867,2015-07-04,1899-12-31 14:00:00,NA,NA,NA,NA,2,1,0,-3914.26,594,66.66,3.190004377,0.003339,0.202384512,0.101800162,4,1.0891,NA,NA,NA,NA,170,6.69,6.5,13.54198148,105.1350602,2.543052632,2.46815,6.616,0.279368421,313,118,0.195,77,41,NA,166.0815936,100.2698176,13,NA,16.14917549,-3.149175494,2.45,2.361866029,NA,2.503523316,0.275025907,0.099405423,0.152110008,104.5,101.5789474,109.1851852,100.8695652,104,3.78,3.630377626,4,-26.98,NA,63.47854489,NA,10.30295361,NA,0.77,39.56656904,-5417.816242,6963.940466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stream,NA,DN,SD,DN,NA,67.18119667,-135.7278867,2015-07-22,1899-12-31 12:25:00,NA,NA,NA,NA,2,1,0,-3914.26,594,66.66,3.190004377,0.01532,0.238533317,0.195555621,5,1.0891,7.9,NA,NA,NA,70,6.93,6.5,13.54198148,105.1350602,3.555886076,3.193421053,8.087,0.297658228,287,50,0.237,29,21,NA,146.3188493,91.89256887,11,NA,8.800439007,2.199560993,2.45,2.783256881,NA,3.121277778,0.261277778,0.080085144,0.12452668,114.7368421,113.9240506,117.5,114.7435897,115.2,1.56,1.357317734,4,-26.88,NA,89.61927559,NA,12.51139685,NA,1.67,39.79299291,9481.500481,8512.301473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stream,NA,DN,SD,DN,NA,67.18119667,-135.7278867,2015-08-16,1899-12-31 14:07:00,NA,NA,NA,NA,2,1,0,-3914.26,594,66.66,3.190004377,0.02203,0.15772699,0.085249201,6,1.0891,6.6,0.9367,98.4,12.04,130.7,5.75,6.5,13.54198148,105.1350602,2.073383838,1.720693069,6.167,0.303080808,241,38,0.203,16,22,NA,87.02121947,60.02044558,9,NA,7.384242063,1.615757937,2.45,3.342115385,NA,3.985728155,0.582621359,0.114213663,0.160879565,51.48514851,52.02020202,54.09090909,52.55102041,52.54,1.12,2.138936367,4,-27.1,NA,73.93155346,NA,6.620830664,NA,2.18,35.42790064,9842.904874,6491.327215,NA,NA,0.5056,NA,NA,0.0058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stream,NA,DN,SE,DN,NA,NA,NA,2015-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16040,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
