OID_,Name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,site45,1,52276.000000000000000,11282835.033725844696164,0.000000000000000,37.728191375732422,37.728191375732422,13.591030487560618,7.766351640302338,710484.709767718799412,12.929081439971924,24.681987762451172
2,site1,2,4440.000000000000000,958294.199053920572624,0.000000000000000,30.336946487426758,30.336946487426758,9.994179369847345,6.066384509890853,44374.156402122207510,8.524192333221436,18.455274772644042
3,site40alt1,3,5766.000000000000000,1244487.466609213035554,0.089629098773003,30.369087219238281,30.279458120465279,10.410087086301663,5.977368214097243,60024.562139615394699,9.085093975067139,19.477819442749023
4,site26,4,19694.000000000000000,4250595.936073853634298,0.000000000000000,37.475856781005859,37.475856781005859,14.796226808986066,6.803524575804294,291396.890776171581820,14.967783927917480,23.531472206115723
5,site31,5,22490.000000000000000,4854062.283045646734536,0.000000000000000,38.011459350585938,38.011459350585938,16.132293725176428,7.320001970476047,362815.285879217844922,16.305216789245605,25.542948722839355
6,site32,6,39067.000000000000000,8431909.791540430858731,0.000000000000000,40.132972717285156,40.132972717285156,16.779209512615680,7.359793152365696,655513.378029356710613,16.533283233642578,26.457135391235354
7,site30,7,7576.000000000000000,1635143.435142455389723,0.000000000000000,34.817756652832031,34.817756652832031,11.835085096239984,7.520464883294274,89662.604689114115899,10.619027614593506,22.674002647399902
8,site42,8,19586.000000000000000,4227286.077177947387099,0.000000000000000,38.833614349365234,38.833614349365234,13.236172594322580,7.036289261230117,259243.676432402047794,12.751686096191406,23.012518882751465
9,site53,9,8104.000000000000000,1749102.745300218928605,0.113022431731224,38.274631500244141,38.161609068512917,14.634981034330927,7.145928539803886,118601.886302217841148,13.574815750122070,24.820625877380373
10,site27,10,4034.000000000000000,870666.396167458500713,0.000000000000000,24.983034133911133,24.983034133911133,6.590942289326444,3.510071705123210,26587.861195142875658,6.007086277008057,11.122912216186524
11,SDUP150704,11,4272.000000000000000,922034.418549177586101,0.000000000000000,28.953044891357422,28.953044891357422,6.563018318424960,4.098040366791553,28037.214256311428471,5.875334739685059,11.530673217773437
12,SDDN150704,12,5044.000000000000000,1088656.743249543942511,0.000000000000000,33.635089874267578,33.635089874267578,6.920625239946465,4.388805221843866,34907.633710289970622,6.075646400451660,12.226641750335693
13,site48,13,5051.000000000000000,1090167.567437241552398,0.000000000000000,33.635089874267578,33.635089874267578,6.933776554771710,4.400440994355828,35022.505378151909099,6.082116127014160,12.290035247802734
14,SDDNTS100150704,14,5141.000000000000000,1109592.449850496836007,0.000000000000000,33.635089874267578,33.635089874267578,6.958842799701296,4.390614819677181,35775.410833264366374,6.125698089599609,12.307636260986328
15,SDDNTS200150704,15,5379.000000000000000,1160960.472232216037810,0.000000000000000,33.635089874267578,33.635089874267578,6.961536634413988,4.360677797198437,37446.105556512840849,6.147175788879395,12.361551475524898
16,SDDNTS300150704,16,5806.000000000000000,1253120.747681770939380,0.000000000000000,33.635089874267578,33.635089874267578,7.048131730081953,4.285271310171323,40921.452824855819927,6.254760980606079,12.382579803466797
17,SDDNTS400150704,17,6017.000000000000000,1298661.305339513579383,0.000000000000000,33.635089874267578,33.635089874267578,7.048992592461031,4.241719221006351,42413.788428838030086,6.251870632171631,12.293000411987308
18,SEUP160617,18,24611.000000000000000,5311842.011918026953936,0.000000000000000,42.217002868652344,42.217002868652344,11.165554183178742,6.597466207636506,274795.454002212034538,9.730990409851074,20.915338516235352
19,SEUP150706,19,24689.000000000000000,5328676.910009514540434,0.000000000000000,42.217002868652344,42.217002868652344,11.156802598017901,6.595257976249602,275450.299342463957146,9.723044395446777,20.892461776733402
20,SEDN160725,20,25220.000000000000000,5443283.716247719712555,0.000000000000000,42.217002868652344,42.217002868652344,11.078462148958629,6.588597800743432,279398.815396736608818,9.675817966461182,20.769322586059573
21,SEDN150706,21,25672.000000000000000,5540839.792367623187602,0.000000000000000,42.217002868652344,42.217002868652344,11.040542310708425,6.571434905704659,283432.802200506674126,9.672372817993164,20.649628257751470
22,SEDN160617,22,25822.000000000000000,5573214.596389715559781,0.000000000000000,42.217002868652344,42.217002868652344,11.027154938881536,6.562428766439062,284743.194831799017265,9.672467231750488,20.607045555114748
23,SEDNTS100150706,23,25975.000000000000000,5606236.896492249332368,0.000000000000000,42.217002868652344,42.217002868652344,11.005738984836711,6.556175535408967,285874.070131133543327,9.656969070434570,20.559070205688478
24,SEDNTS100150821,24,26081.000000000000000,5629115.091334527358413,0.000000000000000,42.217002868652344,42.217002868652344,11.002666606381409,6.548832612052970,286960.547761033521965,9.656932830810547,20.542608261108398
25,SEDNTS200150706,25,26282.000000000000000,5672497.328724130988121,0.000000000000000,42.217002868652344,42.217002868652344,10.967939108026785,6.555205020573466,288259.375637159973849,9.648190498352051,20.504542160034177
26,SEDNTS200150821,26,26483.000000000000000,5715879.566113733686507,0.000000000000000,42.217002868652344,42.217002868652344,10.959449701616938,6.544847676434635,290239.106447921367362,9.644472122192383,20.483380508422851
27,SEDNTSA160725,27,26672.000000000000000,5756671.819181569851935,0.000000000000000,42.217002868652344,42.217002868652344,10.938523445253312,6.541671189341556,291752.297331796318758,9.623812675476074,20.471958923339844
28,SEDNTSB160725,28,3674.000000000000000,792966.866514437831938,0.000000000000000,19.288877487182617,19.288877487182617,5.755557099675883,3.033321585532223,21145.916784209195612,4.715860128402710,10.026445388793945
29,SEDNTSC160725,29,30389.000000000000000,6558919.462849006988108,0.000000000000000,42.217002868652344,42.217002868652344,10.309922864165870,6.448425594020494,313308.245919136621524,8.960005760192871,19.505923843383798
30,SEDNTS400150706,30,30473.000000000000000,6577049.353101378306746,0.000000000000000,42.217002868652344,42.217002868652344,10.312069353271777,6.450073060114849,314239.689402250864077,8.958049774169922,19.530727005004874
31,SEDNTS400150821,31,30671.000000000000000,6619784.094410539604723,0.000000000000000,42.217002868652344,42.217002868652344,10.297466603274248,6.455900332336698,315833.598189024487510,8.936232566833496,19.560470581054688
32,SEDNTS600150706,32,31213.000000000000000,6736765.052943699061871,0.000000000000000,42.217002868652344,42.217002868652344,10.266099366315050,6.463251230190674,320435.759520791645627,8.894620895385742,19.511358642578120
33,SEDNTS600150821,33,31300.000000000000000,6755542.439276511780918,0.000000000000000,42.217002868652344,42.217002868652344,10.256252974184896,6.460022479061748,321020.718091987248044,8.880771160125732,19.492067909240724
34,SEDNTS800150706,34,32105.000000000000000,6929287.220861738547683,0.000000000000000,42.217002868652344,42.217002868652344,10.214479663751108,6.471964745474172,327935.869604729348794,8.812802314758301,19.539659500122070
35,SEDNTS800150821,35,32352.000000000000000,6982597.731484782882035,0.000000000000000,42.217002868652344,42.217002868652344,10.193107142772959,6.472076475133250,329767.402282990748063,8.785504341125488,19.517209434509287
36,SEDNTS1000150706,36,32971.000000000000000,7116197.756082615815103,0.000000000000000,42.217002868652344,42.217002868652344,10.174281880383129,6.485655709427404,335456.247878112131730,8.778069496154785,19.519607543945312
37,SEDNTS1000150821,37,33125.000000000000000,7149435.888211963698268,0.000000000000000,42.217002868652344,42.217002868652344,10.170141717568216,6.496943854232421,336885.944394447142258,8.770881652832031,19.542641830444339
38,HAUPTS2160617,38,35266.000000000000000,7611532.257620622403920,0.000000000000000,42.217002868652344,42.217002868652344,10.214302663058863,6.494806700421006,360217.597715433861595,8.859937667846680,19.623809814453125
39,HAUPTS22160726,39,35548.000000000000000,7672396.889182155020535,0.000000000000000,42.217002868652344,42.217002868652344,10.220616755601000,6.483438890945803,363322.484428104362451,8.877310276031494,19.599137496948241
40,HAINTSINFLOW1160617,40,4979.000000000000000,1074627.661506637465209,0.000000000000000,21.009664535522461,21.009664535522461,4.100981556279917,3.242934616469781,20418.787168717706663,3.362292289733887,7.504518318176269
41,HADNTS3160726,41,40533.000000000000000,8748319.542849676683545,0.000000000000000,42.217002868652344,42.217002868652344,9.468713070146379,6.495643841634433,383795.346872243157122,8.087002754211426,18.736855316162110
42,S2UPTS4160617,42,44730.000000000000000,9654166.559387808665633,0.000000000000000,51.894733428955078,51.894733428955078,9.422326806421987,6.779836026633138,421460.678051255468745,7.899041414260864,19.054574394226069
43,S2INTSINFLOW2160617,43,41579.000000000000000,8974079.842897063121200,0.000000000000000,42.853569030761719,42.853569030761719,9.797472913024137,7.170692883887935,407369.126250630593859,7.913385391235352,20.297615051269531
44,S2DNTS5160617,44,86398.000000000000000,18647455.452671311795712,0.000000000000000,51.894733428955078,51.894733428955078,9.611057852553296,6.983920799826949,830376.176344899693504,7.908448457717896,19.740756988525391
45,S3UPTS6160730,45,87885.000000000000000,18968397.676543649286032,0.000000000000000,51.894733428955078,51.894733428955078,9.676854779105046,7.075247408370261,850450.382261646911502,7.931746482849121,20.004985046386722
46,S3INTSINFLOW3160730,46,96301.000000000000000,20784840.014209821820259,0.000000000000000,43.077369689941406,43.077369689941406,11.288014133112771,7.348025549417052,1087047.049032893031836,9.562356948852539,22.280120849609375
47,S3DNTS7160730,47,184215.000000000000000,39759496.819531075656414,0.000000000000000,51.894733428955078,51.894733428955078,10.520347422911797,7.264424241299970,1938005.800511696841568,8.748664855957031,21.352718734741210
48,site71,48,1521.000000000000000,328280.512784011953045,0.000000000000000,15.368148803710938,15.368148803710938,5.809994454958514,2.515091361305744,8837.001565991899042,6.201444149017334,8.532270431518555
