OID_,Name,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name_1,LakeAddChe,Shape_Leng,Shape_Length,Area_km2,Area_km2geodesic
69,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,21781.35043,10.2320828,10.24020477
70,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,21781.35043,10.2320828,10.24020477
71,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,20526.79089,4.677649222,4.681543424
72,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,20526.79089,4.677649222,4.681543424
73,ApAt,59,0,siteSCoutlet170710,Y,263523.1099,13108.52266,2.16877964,2.170545506
74,ApAt,60,0,siteSCoutlet170807,Y,267972.9067,13108.52266,2.16877964,2.170545506
75,R/Cv,7,0,site42,Y,11471.6213,9050.594247,2.819877145,2.822028975
76,R/Cv,45,0,S3INTSINFLOW3160730,Y,35682.3182,9050.594247,2.819877145,2.822028975
77,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,9050.594247,2.819877145,2.822028975
78,MpMbMpv,7,0,site42,Y,11471.6213,5108.036209,1.035274857,1.036082561
79,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,5108.036209,1.035274857,1.036082561
80,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,5108.036209,1.035274857,1.036082561
81,R/Cv,7,0,site42,Y,11471.6213,2896.605562,0.373384384,0.373670193
82,R/Cv,45,0,S3INTSINFLOW3160730,Y,35682.3182,2896.605562,0.373384384,0.373670193
83,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,2896.605562,0.373384384,0.373670193
84,MpMbMpv,8,0,site53,Y,9609.948678,6177.159852,0.858261343,0.858922215
85,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,6177.159852,0.858261343,0.858922215
86,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,6177.159852,0.858261343,0.858922215
87,R/Cv,8,0,site53,Y,9609.948678,6574.789552,0.89267765,0.893365019
88,R/Cv,45,0,S3INTSINFLOW3160730,Y,35682.3182,6574.789552,0.89267765,0.893365019
