OID_,FID_canlc2015_nolakes_nad83zn8_clipsite10revised,FID_CAN_LC_2015_CAL_Clip_Projectnad83utm8_poly,Id,gridcode,FID_NHN_Lakes_Project_nad83zn8_SS2017update,nid,validityDate,acquisitionTechnique,datasetName,planimetricAccuracy,provider,completelyCover,waterDefinition,isolated,permanency,geographicalNameDB,lakeId1,lakeId2,riverId1,riverId2,lakeName1,lakeName2,riverName1,riverName2,idDate,nameDate,waterDefinitionText,ModifiedbySarah,FID_revisedsite10wpoly_nad83zn8,HydroID,CREATED,Shape_Length,Shape_Area
635,634,55663,55663,5,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,239.999999998137355,2699.999999944120646
636,635,55664,55664,1,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000000000000,900.000000000000000
637,636,55712,55712,10,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,600.000000022351742,10799.999999804422259
638,637,55713,55713,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000011175871,900.000000167638063
639,638,55714,55714,5,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000007450581,900.000000111758709
640,639,55715,55715,5,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,240.000000009313226,2700.000000335276127
641,640,55716,55716,1,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,420.000000003725290,7199.999999860301614
642,641,55717,55717,1,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,360.000000014901161,5400.000000614672899
643,642,55763,55763,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,420.000000009313226,7200.000000195577741
644,643,55764,55764,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,1380.000000016763806,37799.999999525025487
645,644,55765,55765,11,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,480.000000009313226,6300.000000251457095
646,645,55766,55766,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,839.999999998137355,15300.000000195577741
647,646,55767,55767,11,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,119.999999992549419,899.999999888241291
648,647,55768,55768,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,360.000000018626451,4500.000000894069672
649,648,55769,55769,5,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,119.999999998137355,899.999999972060323
650,649,55770,55770,5,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,779.999999988824129,19799.999999720603228
651,650,55771,55771,5,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,480.000000018626451,7200.000000754371285
652,651,55813,55813,11,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000005587935,900.000000083819032
653,652,55814,55814,11,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000005587935,900.000000083819032
654,653,55815,55815,10,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,660.000000005587935,16200.000001061707735
655,654,55816,55816,6,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000000000000,900.000000000000000
656,655,55817,55817,8,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,120.000000005587935,900.000000083819032
657,656,55818,55818,11,-1,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,2021-10-11 19:02:44,180.000000003725290,1800.000000055879354
