OID_,Field1,site,loc,trans,date,lat,long,notes,year,campaign,trannum,loc2,snapped,NEAR_FID,NEAR_DIST
43,43,HA,UP,TS-2,2016-07-26 0:00:00,67.153008900000003,-135.685300000000012,NA,2016,2016transect,2,UP,Y,19,4692.788916711885577
44,44,HA,UP,TS-2,2016-08-09 0:00:00,67.153008900000003,-135.685300000000012,NA,2016,2016transect,3,UP,Y,19,4692.788916711885577
45,45,HA,UP2,TS-2-2,2016-07-26 0:00:00,67.153449899999998,-135.683320000000009,NA,2016,2016transect,2,UP2,Y,19,4763.952664743714195
46,46,S2,DN,TS-5,2016-06-17 0:00:00,67.158752000000007,-135.663762999999989,NA,2016,2016transect,1,DN,Y,19,5618.072299672266126
47,47,S2,DN,TS-5,2016-07-30 0:00:00,67.158752000000007,-135.663762999999989,NA,2016,2016transect,2,DN,Y,19,5618.072299672266126
48,48,S2,DN,TS-5,2016-08-09 0:00:00,67.158752000000007,-135.663762999999989,NA,2016,2016transect,3,DN,Y,19,5618.072299672266126
49,49,S2,IN,TS-INFLOW2,2016-06-17 0:00:00,67.158689899999999,-135.664985000000001,NA,2016,2016transect,1,IN,Y,19,5573.437451882245114
50,50,S2,IN,TS-INFLOW2,2016-07-30 0:00:00,67.158689899999999,-135.664985000000001,NA,2016,2016transect,2,IN,Y,19,5573.437451882245114
51,51,S2,IN,TS-INFLOW2,2016-08-09 0:00:00,67.158689899999999,-135.664985000000001,NA,2016,2016transect,3,IN,Y,19,5573.437451882245114
52,52,S2,UP,TS-4,2016-06-17 0:00:00,67.158494000000005,-135.664965999999993,NA,2016,2016transect,1,UP,Y,19,5579.173959407293296
53,53,S2,UP,TS-4,2016-07-30 0:00:00,67.158494000000005,-135.664965999999993,NA,2016,2016transect,2,UP,Y,19,5579.173959407293296
54,54,S2,UP,TS-4,2016-08-09 0:00:00,67.158494000000005,-135.664965999999993,NA,2016,2016transect,3,UP,Y,19,5579.173959407293296
55,55,S3,DN,TS-7,2016-07-30 0:00:00,67.160852000000006,-135.650936000000002,listed as S3DN PROPER in GPS_Data in Google Drive Peel2016 folder,2016,2016transect,2,DN,Y,25,6026.046192822965168
56,56,S3,IN,TS-INFLOW3,2016-07-30 0:00:00,67.160748999999996,-135.651780000000002,NA,2016,2016transect,2,IN,Y,25,5999.160895484455068
57,57,S3,UP,TS-6,2016-07-30 0:00:00,67.160601900000003,-135.652021999999988,NA,2016,2016transect,2,UP,Y,25,6015.134167245094432
58,58,SC Outlet,NA,SS-0000,2017-07-10 0:00:00,67.390140000000002,-134.942260000000005,NA,2017,2017transect,1,NA,Y,25,41968.207341343411827
59,59,SC Outlet,NA,SS-0000,2017-08-07 0:00:00,67.388220000000004,-134.921040000000005,NA,2017,2017transect,1,NA,Y,25,42619.740946143836481
60,60,SC-1A,NA,SS-0000,2017-07-27 0:00:00,67.291979999999995,-135.962330000000009,Scott SC1A,2017,2017transect,1,NA,Y,36,1963.773427991291101
61,61,SC-2B,NA,SS-0000,2017-07-27 0:00:00,67.304360000000003,-136.005020000000002,Scott SC2B,2017,2017transect,1,NA,Y,43,1456.872313727568553
62,62,SC-3B,NA,SS-0000,2017-07-27 0:00:00,67.338909999999998,-135.908629999999988,Scott SC3B,2017,2017transect,1,NA,Y,45,6333.531878383639196
63,63,SC-4B,NA,SS-0000,2017-07-25 0:00:00,67.357510000000005,-135.783250000000010,Scott SC4B,2017,2017transect,1,NA,Y,35,10751.892916021477504
64,64,SC-5B,NA,SS-0000,2017-07-25 0:00:00,67.349170000000001,-135.484829999999988,Scott SC5B,2017,2017transect,1,NA,Y,33,19682.470615814210760
65,65,SC-6B,NA,SS-0000,2017-07-25 0:00:00,67.383730000000000,-135.454149999999998,Scott SC6B,2017,2017transect,1,NA,Y,33,22890.964411021781416
66,66,SC-7B,NA,SS-0000,2017-07-25 0:00:00,67.348399999999998,-135.301279999999991,Scott SC7B,2017,2017transect,1,NA,Y,25,26736.194575674791849
67,67,SC-8B,NA,SS-0000,2017-07-25 0:00:00,67.327330000000003,-135.115010000000012,Scott SC8B,2017,2017transect,1,NA,Y,25,32047.909032485935313
68,68,SC-9A,NA,SS-0000,2017-07-25 0:00:00,67.390000000000001,-134.983800000000002,Scott SC9A,2017,2017transect,1,NA,Y,25,40448.483552224570303
69,69,SD,DN,SS-0000,2015-07-04 0:00:00,67.179980000000000,-135.727390000000014,NA,2015,2015shorttransects,1,DN,Y,25,2135.309719637966737
70,70,SD,DN,SS-0000,2015-07-22 0:00:00,67.179980000000000,-135.727390000000014,NA,2015,2015shorttransects,2,DN,Y,25,2135.309719637966737
71,71,SD,DN,SS-0000,2015-08-16 0:00:00,67.179980000000000,-135.727390000000014,NA,2015,2015shorttransects,3,DN,Y,25,2135.309719637966737
72,72,SD,DN,TS-0100,2015-07-04 0:00:00,67.179252000000005,-135.727857000000000,estimated from Google Earth Pro using tape measure function between recorded sites SD-DN and SD-300,2015,2015shorttransects,1,DNTS100m,Y,25,2184.368448541868020
73,73,SD,DN,TS-0100,2015-07-22 0:00:00,67.179252000000005,-135.727857000000000,estimated from Google Earth Pro using tape measure function between recorded sites SD-DN and SD-300,2015,2015shorttransects,2,DNTS100m,Y,25,2184.368448541868020
74,74,SD,DN,TS-0100,2015-08-16 0:00:00,67.179252000000005,-135.727857000000000,estimated from Google Earth Pro using tape measure function between recorded sites SD-DN and SD-300,2015,2015shorttransects,3,DNTS100m,Y,25,2184.368448541868020
75,75,SD,DN,TS-0200,2015-07-04 0:00:00,67.178549000000004,-135.726790999999992,estimated from Google Earth Pro using tape measure function between recorded sites SD-DN and SD-300,2015,2015shorttransects,1,DNTS200m,Y,25,2235.900346273252580
76,76,SD,DN,TS-0200,2015-07-22 0:00:00,67.178549000000004,-135.726790999999992,estimated from Google Earth Pro using tape measure function between recorded sites SD-DN and SD-300,2015,2015shorttransects,2,DNTS200m,Y,25,2235.900346273252580
77,77,SD,DN,TS-0200,2015-08-16 0:00:00,67.178549000000004,-135.726790999999992,estimated from Google Earth Pro using tape measure function between recorded sites SD-DN and SD-300,2015,2015shorttransects,3,DNTS200m,Y,25,2235.900346273252580
78,78,SD,DN,TS-0300,2015-07-04 0:00:00,67.177779000000001,-135.725713000000013,NA,2015,2015shorttransects,1,DNTS300m,Y,25,2317.254919672468077
79,79,SD,DN,TS-0300,2015-07-22 0:00:00,67.177779000000001,-135.725713000000013,NA,2015,2015shorttransects,2,DNTS300m,Y,25,2317.254919672468077
80,80,SD,DN,TS-0300,2015-08-16 0:00:00,67.177779000000001,-135.725713000000013,NA,2015,2015shorttransects,3,DNTS300m,Y,25,2317.254919672468077
