"","site","date","samptype","SR_d","a254dec_d","atot250450_d","sampcode","streamloc","repnum","dilfac","SR_p","atot250450_p","a254naperian_p","HIX_p","prcntC1_p","prcntC2_p","prcntC3_p","prcntC4_p","prcntC5_p","normC1_p","normC2_p","normC3_p","normC4_p","normC5_p","pkAB_p","pkCB_p","pkTC_p","pkCM_p","normA_p","normB_p","normC_p","normE_p","normD_p","normM_p","normN_p","normT_p","FrI_d","BIX_d","HIX_d","pkAB_d","pkCB_d","pkTC_d","pkCM_d","pkCA_d","prcntC1_d","prcntC2_d","prcntC3_d","normC1_d","normC2_d","normC3_d","normA_d","normB_d","normC_d","normE_d","normD_d","normM_d","normN_d","normT_d"
"11","23","2017-07-20","Sample",1.42227590356311,8.55483085808581,1641.84747286716,"23_NA_SS-0000_2017-07-20_Sample_1",NA,1,1,0.52133686161173,6146.5071870611,70.1055340649806,0.908159644,0.394180462116825,0.200890707209359,0.180927031443017,0.131111482045769,0.0928903171850301,0.679707086484408,0.346406913639968,0.311982447704265,0.226082751507785,0.160175891309744,5.27279828419763,2.99887656470851,0.246481191039142,0.95100447803606,0.937332042720912,0.177767476053476,0.533102717904152,0.161145605434912,0.261016214543023,0.560568041703729,0.263047413069105,0.131399792855219,0.757955087394442,0.769155538275497,0.895201856439145,9.7992790604774,5.83741001499383,0.287875458297903,1.00367699924711,0.595697905832416,0.474021406372801,0.380699372482817,0.145279221144382,0.357989495856518,0.287511016582302,0.109717482030763,0.71085840440368,0.0725419084420939,0.423456862846645,0.0491920383252906,0.197507746993307,0.421905516579831,0.243812369917359,0.12190283846137
"12","24","2017-07-20","Sample",1.33983594811818,8.90604785478548,1654.5437959571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","26","2017-07-14","Sample",0.497755009029908,3.00444306930693,505.678669278053,"26_NA_SS-0000_2017-07-14_Sample_1",NA,2,0.333333333333333,0.49905689776282,51.2719783778578,0.577931113051305,0.860701876,0.287124845797128,0.11783733435183,0.288689926881588,0.136988007965411,0.169359885004043,0.473176320142951,0.194193700267409,0.47575554419517,0.225753648496813,0.279101890132727,3.476015781736,2.50742221527328,0.235100986671896,1.07330848209737,0.813608069114662,0.234063399075918,0.586895766625331,0.0759397937658538,0.223841613599871,0.546809958567054,0.195679993123687,0.137979773807174,0.677659461183687,0.688889826661348,0.799843764605427,11.8047687275876,8.4530064226117,0.322055785143463,1.09382830671427,0.716067092687476,0.420532898385657,0.329941219143715,0.249525882470628,0.104161010406261,0.0817225260915638,0.0618046011154617,0.118625212113554,0.0100489230116239,0.0849436107575876,0.00619221240967932,0.0337810958568751,0.0776571699929291,0.0387110554786434,0.0273565812554555
"14","27","2017-07-12","Sample",0.992110097913269,10.2865800330033,1810.40193368399,"27_NA_SS-0000_2017-07-12_Sample_1",NA,2,0.666666666666667,0.84626020786697,20.8327641283084,0.257309744431882,0.887870426,0.304093933301084,0.161763354126973,0.272898580604075,0.132458929431575,0.128785202536292,0.490627632711447,0.260990315174095,0.440296796186081,0.213710317312255,0.207783096370045,4.55268910310979,2.9393305517784,0.312689874790446,1.09004846770648,0.842995390394707,0.185164277925081,0.544259019203176,0.126365866679851,0.2286709193029,0.499297999425956,0.22441176747319,0.170184284568212,0.594581530120231,0.596543070700121,0.93025228034368,24.2263124727686,15.2305868000988,0.179669442392516,1.09108195452315,0.628679532521455,0.430079939243424,0.430524870747433,0.139395190009143,1.01953992991888,1.02059467670669,0.330447782574932,0.612126665071449,0.0252670176593943,0.384831505641036,0.0435995117772457,0.183323313316865,0.352706324255195,0.159546446596439,0.0691424620335972
"15","29","2017-07-20","Sample",1.27339100971451,5.24907590759076,947.600265684818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","3","2017-07-22","Sample",1.24841564185457,3.59791254125413,766.116949084158,"3_NA_SS-0000_2017-07-22_Sample_1",NA,2,0.5,0.74025691097841,29.1780241336184,0.361226660490639,0.887652259,0.266253814089225,0.141506757830363,0.325359095280294,0.128429503553699,0.138450829246419,0.408366173349752,0.217035663492695,0.499018762073494,0.196978454903399,0.212348640074366,4.22862555806163,2.88321405638871,0.266939193710912,1.11592914514154,0.81012307253166,0.191580706640532,0.552368186318863,0.103790032820518,0.210132603385648,0.494984998576054,0.195384199193204,0.147448718287516,0.667024300821688,0.673166027491908,0.896347778139314,13.5878040713037,9.60777892181782,0.275919487886799,1.11116535742453,0.707088420719034,0.518331747901648,0.327834440668584,0.153833811429768,0.48718210000691,0.308132912765007,0.144589019692157,0.135621497582519,0.00998111960334638,0.0958963905411739,0.00931219054722413,0.0404021724572528,0.086302538051981,0.0367737481614922,0.0264596829683132
"17","30","2017-07-14","Sample",0.797025383795069,3.27102310231023,617.335985462046,"30_NA_SS-0000_2017-07-14_Sample_1",NA,3,0.25,0.697613028993262,66.4641108264554,0.842445973544554,0.872023725,0.305659454814734,0.134864326036571,0.267065342458001,0.149292900524273,0.143117976166421,0.497298323148091,0.219420018370232,0.434506915730232,0.242894855431958,0.232848447639377,4.2784697236467,2.75405089378252,0.246348965246557,1.08228686949999,0.849414658539875,0.198532352314015,0.54676820233516,0.0807575086696257,0.238227417599271,0.505197113393572,0.209198704598591,0.134695780874987,0.835920676667821,0.868227566840519,0.865184860484898,26.8747527378116,20.8285160752316,0.228876701343568,1.25861950244044,0.775021682187488,0.412352048746261,0.424753080020505,0.162894871233234,0.144119115731548,0.148453338556043,0.0569325770799897,0.121773821526286,0.00453116062924574,0.0943773520057012,0.0072710414521609,0.0397323384897186,0.0749848161598523,0.032356064679725,0.0216007770086057
"18","31","2017-07-29","Duplicate",2.33411277004797,2.08773514851485,632.618205119637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","31","2017-07-29","Sample",1.01093047674633,2.05895214521452,549.158520709571,"31_NA_SS-0000_2017-07-29_Sample_1",NA,1,1,0.292765448382307,2.76286068281154,0.034255062342346,0.777505133,0.404896905510415,0.0630602729985116,0.113052766938455,0.144245507908262,0.274744546644356,0.790851554676983,0.123170402787741,0.220816596217508,0.28174279089788,0.536635743310523,1.81130135780261,1.24749843991452,0.511398546108076,0.949467197753516,0.85759541455242,0.473469205363384,0.59065209503839,0.072361393455306,0.252647410347937,0.62208794199094,0.358770322112486,0.302058622658322,0.804709653445594,0.820387215157933,0.795633000926944,25.1388305106638,20.6928790867828,0.18268208586958,1.28830398725705,0.823144063046406,0.404979290389475,0.333120813095904,0.261899896514621,0.0513737850622705,0.0422581535843457,0.0332234000865411,0.0623440547744454,0.00247999025841712,0.0513181385538247,0.00407941651094143,0.0193720488919436,0.0398338738849104,0.0181102638370502,0.00937490459395678
"20","32","2017-07-29","Sample",1.1526252456633,1.99660478547855,557.736844179043,"32_NA_SS-0000_2017-07-29_Sample_1",NA,1,1,-0.301278921971938,2.36539620797356,0.0226781158854406,0.783357753,0.404558588048861,0.0574961117609867,0.145749644117167,0.143489833206853,0.248705822866132,0.74069513539691,0.105268041622828,0.26684899436711,0.262711569040759,0.45534861595765,2.0576779567332,1.52431424605065,0.433571289186054,0.933105492687056,0.818772176265543,0.397910748660319,0.606541022839603,0.065850502055044,0.232246371156548,0.65002406222361,0.319258753446751,0.262978773216794,0.743032782066162,0.763953065919566,0.81893314517218,13.9287502997297,10.6858862280522,0.223816041387117,1.16019332714229,0.767181979582152,0.422449184280995,0.32865568911319,0.248895126605815,0.0572515553437477,0.0445403851502899,0.0337309992441213,0.0693587336267981,0.00497953744121207,0.0532107705651182,0.00436529833020634,0.0226669658389677,0.0458637102285216,0.018524185926188,0.0119094240270429
