system:index,HydroID,LakeAddChe,Name,Shape_Area,Shape_Leng,WatershedA,mean
0000000000000000003b,0,Y,siteSCoutlet170710,1.03E+09,263523.1099,0,300.5916489
0000000000000000003c,0,Y,siteSCoutlet170807,1.03E+09,267972.9067,0,300.6065865
0000000000000000003d,0,Y,site3,6.14E+07,50419.71437,0,203.1659887
0000000000000000003e,0,Y,siteSC-1A,1.91E+07,29007.82242,0,128.9785491
0000000000000000003f,0,Y,siteSC-2B,1.08E+08,63330.06746,0,201.2605007
40,0,Y,site8,8653723.222,26835.75552,0,290.985775
41,0,Y,site29,1.38E+07,24802.42351,0,282.348877
42,0,Y,site0,6788990.946,15113.24482,0,311.6875322
43,0,Y,siteSC-3B,1.43E+08,80412.83247,0,225.0835298
0,0,Y,site45,1.13E+07,19466.2695,0,138.6689109
1,0,Y,site1,957737.635,6129.190583,0,229.2346618
2,0,Y,site40alt1,1242508.954,7194.044193,0,240.0923188
3,0,Y,site26,4254748.88,13463.78875,0,190.2009225
4,0,Y,site31,4852182.012,15583.04631,0,152.1433686
5,0,Y,site32,8430568.275,17714.52385,0,181.3931591
6,0,Y,site30,1635873.819,7480.047959,0,218.9111595
7,0,Y,site42,4228536.391,11471.6213,0,211.4154437
8,0,Y,site53,1750938.991,9609.948678,0,242.8343049
9,0,Y,site27,867103.3684,7068.348341,0,312.1334594
0000000000000000000a,0,Y,SDUP150704,923255.6743,5570.449787,0,303.4450393
0000000000000000000b,0,Y,SDDN150704,1089077.33,6210.417495,0,304.3387558
0000000000000000000c,0,Y,site48,1090124.429,6349.769336,0,304.341143
0000000000000000000d,0,Y,SDDNTS100150704,1110435.487,6396.227028,0,304.3542958
0000000000000000000e,0,Y,SDDNTS200150704,1160475.386,6690.215488,0,304.37244
0000000000000000000f,0,Y,SDDNTS300150704,1255120.479,6912.094798,0,304.5372144
10,0,Y,SDDNTS400150704,1298255.408,7087.512259,0,304.6587259
11,0,Y,SEUP160617,5309182.143,13667.67429,0,269.6503181
12,0,Y,SEUP150706,5326374.866,13667.66832,0,269.8407127
13,0,Y,SEDN160725,5445060.752,13930.80574,0,271.3288086
14,0,Y,SEDN150706,5543193.546,14165.54221,0,272.4825106
15,0,Y,SEDN160617,5573806.456,14255.82075,0,272.8333089
16,0,Y,SEDNTS100150706,5608195.59,14309.99018,0,273.2719327
17,0,Y,SEDNTS100150821,5628325.018,14382.21565,0,273.5093118
