system:index,HydroID,LakeAddChe,Name,Shape_Area,Shape_Leng,WatershedA,mean
18,0,Y,SEDNTS200150706,5673610.182,14629.89291,0,274.0540488
19,0,Y,SEDNTS200150821,5717015.969,14684.06947,0,274.5595436
0000000000000000001a,0,Y,SEDNTSA160725,5757062.854,14874.96238,0,275.0419488
0000000000000000001b,0,Y,SEDNTSB160725,793522.5704,6007.532776,0,337.6267782
0000000000000000001c,0,Y,SEDNTSC160725,6561698.837,15595.17638,0,282.7178275
0000000000000000001d,0,Y,SEDNTS400150706,6579103.12,15631.28914,0,282.8824258
0000000000000000001e,0,Y,SEDNTS400150821,6623136.521,15649.33772,0,283.3294838
0000000000000000001f,0,Y,SEDNTS600150706,6738042.688,15884.06925,0,284.4392619
20,0,Y,SEDNTS600150821,6756497.561,15902.13233,0,284.6280417
21,0,Y,SEDNTS800150706,6933274.903,16302.02121,0,286.4053425
22,0,Y,SEDNTS800150821,6985489.236,16578.11229,0,286.8843114
23,0,Y,SEDNTS1000150706,7118640.936,16970.26101,0,287.964792
24,0,Y,SEDNTS1000150821,7152820.214,17106.99654,0,288.2358221
25,0,Y,HAUPTS2160617,7614269.513,18863.82625,0,291.7758512
26,0,Y,HAUPTS22160726,7674652.888,18972.16236,0,292.1880285
27,0,Y,HAINTSINFLOW1160617,1079560.19,8350.35635,0,366.1851886
28,0,Y,HADNTS3160726,8755261.297,19759.42525,0,301.3221702
29,0,Y,S2UPTS4160617,9663690.501,21949.53018,0,304.9391522
0000000000000000002a,0,Y,S2INTSINFLOW2160617,8971844.215,21209.24344,0,294.5001942
0000000000000000002b,0,Y,S2DNTS5160617,1.87E+07,24551.93494,0,299.9516876
0000000000000000002c,0,Y,S3UPTS6160730,1.90E+07,25887.85677,0,300.686751
0000000000000000002d,0,Y,S3INTSINFLOW3160730,2.08E+07,35682.3182,0,274.6498771
0000000000000000002e,0,Y,S3DNTS7160730,3.98E+07,39206.58459,0,287.0730633
0000000000000000002f,0,Y,site71,328070.5838,3633.289447,0,339.8249456
30,0,Y,site62,1869021.975,10889.70008,0,352.6983046
31,0,Y,site13,2257419.119,8995.516517,0,362.0760959
32,0,Y,site10,1.03E+08,82937.72067,0,324.7926567
33,0,Y,site7,1.12E+07,21892.46785,0,263.5901667
34,0,Y,site57,2470704.251,9837.093023,0,378.7496082
35,0,Y,siteDC-3,3.48E+07,43137.1669,0,319.3251394
36,0,Y,siteDC-4,2.26E+08,127713.0386,0,322.2177708
37,0,Y,site12-1,211604.9792,3831.035085,0,364.837062
38,0,Y,SC-8B,9.17E+08,237453.753,0,293.6700111
39,0,Y,site14,2.57E+07,48819.29437,0,332.1700558
0000000000000000003a,0,Y,siteSC-9A,9.97E+08,258694.6456,0,298.2925593
44,0,Y,site20,2653471.739,12077.91629,0,315.0995743
45,0,Y,site19,9102970.765,22391.73955,0,262.5407937
46,0,Y,site5,1.81E+07,25525.5358,0,302.8444776
47,0,Y,site36,4.25E+07,54545.36664,0,265.0602469
48,0,Y,site37,2.63E+07,45537.58056,0,286.0393221
49,0,Y,site38,4173318.201,12122.56923,0,322.1085089
0000000000000000004a,0,Y,siteSC-4B,2.35E+08,112154.2356,0,255.7707787
0000000000000000004b,0,Y,site24,3661513.88,13663.57841,0,298.4651561
0000000000000000004c,0,Y,site23,1.38E+07,26301.05699,0,287.279079
0000000000000000004d,0,Y,site35,2910119.968,9064.966602,0,211.7414959
0000000000000000004e,0,Y,siteSC-5B,4.79E+08,162850.4689,0,274.0075532
0000000000000000004f,0,Y,siteSC-6B,5.95E+08,194569.6103,0,281.4559025
50,0,Y,site9alt,3.28E+07,43408.06294,0,316.5754436
51,0,Y,site6,4972126.887,13039.93453,0,298.3368784
52,0,Y,siteSC-7B,6.65E+08,213971.6585,0,283.3413162
