OID_,FID_watercourse_acc_count_jk_nad83zn8,waterbody,impact,type,psuedo,acc_val,distant,count,RivID,Fnode,Tnode,Strahler,Segment,acc,acc_count,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,Shape_Length
48,300,,,,,,,,358,367,381,2,1153,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,505.114772282986280
49,301,,,,,,,,359,381,365,3,1159,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,447.568119015829097
50,301,,,,,,,,359,381,365,3,1159,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,447.568119015829097
51,302,,,,,,,,360,382,383,1,1145,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,1276.164558767565040
52,302,,,,,,,,360,382,383,1,1145,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,1276.164558767565040
53,303,,,,,,,,361,384,377,1,1133,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,24.887948423111528
54,303,,,,,,,,361,384,377,1,1133,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,24.887948423111528
55,307,,,,,,,,365,389,383,1,1146,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,1407.528104335541911
56,307,,,,,,,,365,389,383,1,1146,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,1407.528104335541911
57,311,,,,,,,,369,393,377,2,1139,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,158.272474224641940
58,311,,,,,,,,369,393,377,2,1139,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,158.272474224641940
59,319,,,,,,,,377,404,393,1,1134,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,169.229386296000996
60,319,,,,,,,,377,404,393,1,1134,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,169.229386296000996
61,322,,,,,,,,380,406,407,1,1143,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,363.347103915545688
62,322,,,,,,,,380,406,407,1,1143,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,363.347103915545688
63,323,,,,,,,,381,407,408,3,1159,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,504.378109924367209
64,323,,,,,,,,381,407,408,3,1159,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,504.378109924367209
65,326,,,,,,,,384,412,393,2,1139,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,518.378924296149194
66,326,,,,,,,,384,412,393,2,1139,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,518.378924296149194
67,330,,,,,,,,388,417,407,3,1159,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,165.841558019803500
68,330,,,,,,,,388,417,407,3,1159,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,165.841558019803500
69,338,,,,,,,,397,425,426,1,1144,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,1492.524197497594741
70,338,,,,,,,,397,425,426,1,1144,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,1492.524197497594741
71,339,,,,,,,,398,426,417,3,1159,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,153.227068621379260
72,339,,,,,,,,398,426,417,3,1159,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,153.227068621379260
73,353,,,,,,,,415,383,447,2,1147,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,1157.887895035531301
74,353,,,,,,,,415,383,447,2,1147,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,1157.887895035531301
75,354,,,,,,,,416,447,426,3,1159,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,776.971406593892084
76,354,,,,,,,,416,447,426,3,1159,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,776.971406593892084
77,355,,,,,,,,417,448,412,2,1139,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,624.586911006823584
78,355,,,,,,,,417,448,412,2,1139,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,624.586911006823584
79,359,,,,,,,,421,452,453,1,1154,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,920.692304614902241
80,359,,,,,,,,421,452,453,1,1154,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,920.692304614902241
81,370,,,,,,,,432,365,447,3,1159,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,3178.329723972395186
82,370,,,,,,,,432,365,447,3,1159,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,3178.329723972395186
83,372,,,,,,,,434,465,453,2,1158,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,454.371623496615314
84,372,,,,,,,,434,465,453,2,1158,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,454.371623496615314
85,373,,,,,,,,435,466,412,1,1142,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,536.142182637326300
86,373,,,,,,,,435,466,412,1,1142,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,536.142182637326300
87,393,,,,,,,,457,490,417,1,1160,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,664.313777937380792
88,393,,,,,,,,457,490,417,1,1160,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,664.313777937380792
89,414,,,,,,,,479,512,448,1,1135,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,3721.637155160101884
90,414,,,,,,,,479,512,448,1,1135,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,3721.637155160101884
91,429,,,,,,,,494,529,530,1,1137,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,244.198764796159423
92,429,,,,,,,,494,529,530,1,1137,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,244.198764796159423
93,430,,,,,,,,495,531,530,1,1138,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,1237.489635738194465
94,430,,,,,,,,495,531,530,1,1138,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,1237.489635738194465
95,465,,,,,,,,531,567,568,1,1136,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,248.903773262902263
96,465,,,,,,,,531,567,568,1,1136,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,248.903773262902263
97,466,,,,,,,,532,568,448,2,1139,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,2438.359838780191694
98,466,,,,,,,,532,568,448,2,1139,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,2438.359838780191694
99,479,,,,,,,,546,530,581,2,1139,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,1886.192054634408578
100,479,,,,,,,,546,530,581,2,1139,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,1886.192054634408578
101,480,,,,,,,,547,582,581,1,1140,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,614.814937266821858
102,480,,,,,,,,547,582,581,1,1140,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,614.814937266821858
103,482,,,,,,,,549,581,584,2,1139,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,318.319047245247816
104,482,,,,,,,,549,581,584,2,1139,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,318.319047245247816
105,483,,,,,,,,550,585,584,1,1141,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,117.792482252421721
106,483,,,,,,,,550,585,584,1,1141,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,117.792482252421721
107,489,,,,,,,,556,584,568,2,1139,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,1494.547032292753102
108,489,,,,,,,,556,584,568,2,1139,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,1494.547032292753102
109,1474,,,,,,,,1655,1708,220,1,1163,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,676.302781456512434
110,1474,,,,,,,,1655,1708,220,1,1163,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,676.302781456512434
111,1475,,,,,,,,1656,1709,220,1,1164,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,121.107549124485317
112,1475,,,,,,,,1656,1709,220,1,1164,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,121.107549124485317
113,1478,,,,,,,,1659,284,253,3,1159,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,1119.537691036707201
114,1478,,,,,,,,1659,284,253,3,1159,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,1119.537691036707201
115,1489,,,,,,,,1670,408,315,3,1159,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,2406.052925097670595
116,1489,,,,,,,,1670,408,315,3,1159,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,2406.052925097670595
117,1493,,,,,,,,1675,1723,364,1,1148,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,539.172565730766564
118,1493,,,,,,,,1675,1723,364,1,1148,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,539.172565730766564
119,1494,,,,,,,,1676,1724,364,1,1149,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,3481.397980855280366
120,1494,,,,,,,,1676,1724,364,1,1149,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,3481.397980855280366
121,1495,,,,,,,,1677,453,381,2,1158,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,1172.408484089702597
122,1495,,,,,,,,1677,453,381,2,1158,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,1172.408484089702597
123,1958,,,,,,,,2186,2163,408,1,1161,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,2845.450272908004990
124,1958,,,,,,,,2186,2163,408,1,1161,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,2845.450272908004990
125,245,,1,2,,,,,286,301,253,6,759,94.000000000000000,109.000000000000000,59,,siteSC-9A,,Y,1074.583016652714605
126,245,,1,2,,,,,286,301,253,6,759,94.000000000000000,109.000000000000000,60,,siteSCoutlet170710,,Y,1074.583016652714605
127,245,,1,2,,,,,286,301,253,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,1074.583016652714605
128,249,,,,,,,,290,305,301,1,4,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,148.123452980247919
129,249,,,,,,,,290,305,301,1,4,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,148.123452980247919
130,249,,,,,,,,290,305,301,1,4,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,148.123452980247919
131,279,,1,2,,,,,331,349,301,6,759,94.000000000000000,109.000000000000000,59,,siteSC-9A,,Y,1181.305996637825501
132,279,,1,2,,,,,331,349,301,6,759,94.000000000000000,109.000000000000000,60,,siteSCoutlet170710,,Y,1181.305996637825501
133,279,,1,2,,,,,331,349,301,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,1181.305996637825501
134,313,,,,,,,,371,395,396,1,1129,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,112.384713576037129
135,313,,,,,,,,371,395,396,1,1129,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,112.384713576037129
136,313,,,,,,,,371,395,396,1,1129,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,112.384713576037129
137,315,,,,,,,,373,399,400,1,5,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,256.442531257013229
138,315,,,,,,,,373,399,400,1,5,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,256.442531257013229
139,315,,,,,,,,373,399,400,1,5,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,256.442531257013229
140,356,,1,2,,,,,418,449,400,6,759,94.000000000000000,109.000000000000000,59,,siteSC-9A,,Y,674.601338172729129
141,356,,1,2,,,,,418,449,400,6,759,94.000000000000000,109.000000000000000,60,,siteSCoutlet170710,,Y,674.601338172729129
142,356,,1,2,,,,,418,449,400,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,674.601338172729129
143,362,,,,,,,,424,455,396,1,1130,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,612.178005120358762
144,362,,,,,,,,424,455,396,1,1130,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,612.178005120358762
145,362,,,,,,,,424,455,396,1,1130,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,612.178005120358762
