OID_,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,FID_Norris1985_bedrock_geology_SZdig_SScont,FmAbbr,Fm,Epoch,Epoch2,Lithology1,Lithology2,Lithology3,Lithology4,Notes,Shape_Length,Shape_Area,polygonareakm2
32,46,,S3INTSINFLOW3160730,,Y,80,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,9993.160149346929757,2206364.870525956619531,2.206364870525956
33,47,,S3DNTS7160730,,Y,80,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,9993.160149346929757,2206364.870525956619531,2.206364870525956
34,46,,S3INTSINFLOW3160730,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,12219.490451373747419,3445622.928217279724777,3.445622928217280
35,47,,S3DNTS7160730,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,12219.490451373747419,3445622.928217279724777,3.445622928217280
36,46,,S3INTSINFLOW3160730,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,6171.685060640586016,998075.518502452760004,0.998075518502453
37,47,,S3DNTS7160730,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,6171.685060640586016,998075.518502452760004,0.998075518502453
38,46,,S3INTSINFLOW3160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,11973.507958982429045,4085543.469337400048971,4.085543469337400
39,47,,S3DNTS7160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,11973.507958982429045,4085543.469337400048971,4.085543469337400
40,60,,siteSCoutlet170710,,Y,85,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,10227.779710091706875,4886025.851529555395246,4.886025851529555
41,61,,siteSCoutlet170807,,Y,85,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,10227.779710091706875,4886025.851529555395246,4.886025851529555
42,60,,siteSCoutlet170710,,Y,105,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,26994.612012196204887,14362236.989732703194022,14.362236989732702
43,61,,siteSCoutlet170807,,Y,105,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,26994.612012196204887,14362236.989732703194022,14.362236989732702
44,60,,siteSCoutlet170710,,Y,109,CT,Tuttle,Carboniferous,Carboniferous,Conglomerate,Sandstone,Shale,NA,Fluviatile,4270.071576001926587,449363.667402302613482,0.449363667402303
45,61,,siteSCoutlet170807,,Y,109,CT,Tuttle,Carboniferous,Carboniferous,Conglomerate,Sandstone,Shale,NA,Fluviatile,4270.071576001926587,449363.667402302613482,0.449363667402303
46,60,,siteSCoutlet170710,,Y,111,Qf,NA,Quaternary,Pleistocene and Holocene,NA,NA,NA,NA,Fluviatile silt sand and gravel,10803.074703786382088,2431457.453230652492493,2.431457453230653
47,61,,siteSCoutlet170807,,Y,111,Qf,NA,Quaternary,Pleistocene and Holocene,NA,NA,NA,NA,Fluviatile silt sand and gravel,10803.074703786382088,2431457.453230652492493,2.431457453230653
48,60,,siteSCoutlet170710,,Y,113,CF,Ford Lake Shale,Carboniferous,Carboniferous,Shale,Calcareous,Pyritic,NA,marine; may be Upper Devonian in part,9303.697532808360847,2526078.624196243006736,2.526078624196243
49,61,,siteSCoutlet170807,,Y,113,CF,Ford Lake Shale,Carboniferous,Carboniferous,Shale,Calcareous,Pyritic,NA,marine; may be Upper Devonian in part,9303.697532808360847,2526078.624196243006736,2.526078624196243
50,60,,siteSCoutlet170710,,Y,114,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,6071.832102837879575,924624.096296366071329,0.924624096296366
51,61,,siteSCoutlet170807,,Y,114,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,6071.832102837879575,924624.096296366071329,0.924624096296366
52,60,,siteSCoutlet170710,,Y,115,CF,Ford Lake Shale,Carboniferous,Carboniferous,Shale,Calcareous,Pyritic,NA,marine; may be Upper Devonian in part,12889.854246423534278,4931866.948901901021600,4.931866948901900
53,61,,siteSCoutlet170807,,Y,115,CF,Ford Lake Shale,Carboniferous,Carboniferous,Shale,Calcareous,Pyritic,NA,marine; may be Upper Devonian in part,12889.854246423534278,4931866.948901901021600,4.931866948901900
54,8,,site42,,Y,70,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,906.440552284264527,18686.200092406648764,0.018686200092407
55,46,,S3INTSINFLOW3160730,,Y,70,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,906.440552284264527,18686.200092406648764,0.018686200092407
56,47,,S3DNTS7160730,,Y,70,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,906.440552284264527,18686.200092406648764,0.018686200092407
57,8,,site42,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,11486.857016227831991,2341000.657622753642499,2.341000657622753
58,46,,S3INTSINFLOW3160730,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,11486.857016227831991,2341000.657622753642499,2.341000657622753
59,47,,S3DNTS7160730,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,11486.857016227831991,2341000.657622753642499,2.341000657622753
60,8,,site42,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1235.586081234480844,37097.767808003132814,0.037097767808003
61,46,,S3INTSINFLOW3160730,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1235.586081234480844,37097.767808003132814,0.037097767808003
62,47,,S3DNTS7160730,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1235.586081234480844,37097.767808003132814,0.037097767808003
63,8,,site42,,Y,77,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6826.446221662891730,1642006.290650657378137,1.642006290650657
64,46,,S3INTSINFLOW3160730,,Y,77,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6826.446221662891730,1642006.290650657378137,1.642006290650657
65,47,,S3DNTS7160730,,Y,77,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6826.446221662891730,1642006.290650657378137,1.642006290650657
66,8,,site42,,Y,80,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,1954.225507386225445,189745.463963586691534,0.189745463963587
67,46,,S3INTSINFLOW3160730,,Y,80,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,1954.225507386225445,189745.463963586691534,0.189745463963587
68,47,,S3DNTS7160730,,Y,80,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,1954.225507386225445,189745.463963586691534,0.189745463963587
69,9,,site53,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4286.730020205623077,484567.575801893835887,0.484567575801894
70,46,,S3INTSINFLOW3160730,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4286.730020205623077,484567.575801893835887,0.484567575801894
71,47,,S3DNTS7160730,,Y,72,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4286.730020205623077,484567.575801893835887,0.484567575801894
72,9,,site53,,Y,80,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,5923.550220324200382,1102634.874635570449755,1.102634874635570
73,46,,S3INTSINFLOW3160730,,Y,80,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,5923.550220324200382,1102634.874635570449755,1.102634874635570
74,47,,S3DNTS7160730,,Y,80,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,5923.550220324200382,1102634.874635570449755,1.102634874635570
75,9,,site53,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2026.103415776095517,163736.535093598067760,0.163736535093598
76,46,,S3INTSINFLOW3160730,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2026.103415776095517,163736.535093598067760,0.163736535093598
77,47,,S3DNTS7160730,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2026.103415776095517,163736.535093598067760,0.163736535093598
78,10,,site27,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,3338.225127715369126,82610.796315600018715,0.082610796315600
79,46,,S3INTSINFLOW3160730,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,3338.225127715369126,82610.796315600018715,0.082610796315600
80,47,,S3DNTS7160730,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,3338.225127715369126,82610.796315600018715,0.082610796315600
81,10,,site27,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6279.368803407437554,784492.575076586566865,0.784492575076587
82,46,,S3INTSINFLOW3160730,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6279.368803407437554,784492.575076586566865,0.784492575076587
83,47,,S3DNTS7160730,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6279.368803407437554,784492.575076586566865,0.784492575076587
84,17,,SDDNTS400150704,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1595.248792177836549,7196.571288516029199,0.007196571288516
