OID_,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,FID_Norris1985_bedrock_geology_SZdig_SScont,FmAbbr,Fm,Epoch,Epoch2,Lithology1,Lithology2,Lithology3,Lithology4,Notes,Shape_Length,Shape_Area,polygonareakm2
529,57,,SC-8B,,Y,49,KBC,Boundary Creek,Cretaceous,Upper Cretaceous,Shale,Bentonite,NA,NA,marine,1535.146096998562143,55244.887245190162503,0.055244887245190
530,59,,siteSC-9A,,Y,49,KBC,Boundary Creek,Cretaceous,Upper Cretaceous,Shale,Bentonite,NA,NA,marine,1535.146096998562143,55244.887245190162503,0.055244887245190
531,60,,siteSCoutlet170710,,Y,49,KBC,Boundary Creek,Cretaceous,Upper Cretaceous,Shale,Bentonite,NA,NA,marine,1535.146096998562143,55244.887245190162503,0.055244887245190
532,61,,siteSCoutlet170807,,Y,49,KBC,Boundary Creek,Cretaceous,Upper Cretaceous,Shale,Bentonite,NA,NA,marine,1535.146096998562143,55244.887245190162503,0.055244887245190
533,79,,siteSC-5B,,Y,49,KBC,Boundary Creek,Cretaceous,Upper Cretaceous,Shale,Bentonite,NA,NA,marine,1535.146096998562143,55244.887245190162503,0.055244887245190
534,80,,siteSC-6B,,Y,49,KBC,Boundary Creek,Cretaceous,Upper Cretaceous,Shale,Bentonite,NA,NA,marine,1535.146096998562143,55244.887245190162503,0.055244887245190
535,83,,siteSC-7B,,Y,49,KBC,Boundary Creek,Cretaceous,Upper Cretaceous,Shale,Bentonite,NA,NA,marine,1535.146096998562143,55244.887245190162503,0.055244887245190
536,57,,SC-8B,,Y,89,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,22486.511318878034217,16829996.816244371235371,16.829996816244371
537,59,,siteSC-9A,,Y,89,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,22486.511318878034217,16829996.816244371235371,16.829996816244371
538,60,,siteSCoutlet170710,,Y,89,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,22486.511318878034217,16829996.816244371235371,16.829996816244371
539,61,,siteSCoutlet170807,,Y,89,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,22486.511318878034217,16829996.816244371235371,16.829996816244371
540,79,,siteSC-5B,,Y,89,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,22486.511318878034217,16829996.816244371235371,16.829996816244371
541,80,,siteSC-6B,,Y,89,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,22486.511318878034217,16829996.816244371235371,16.829996816244371
542,83,,siteSC-7B,,Y,89,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,22486.511318878034217,16829996.816244371235371,16.829996816244371
543,57,,SC-8B,,Y,90,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,13686.388025743257458,4621557.625487340614200,4.621557625487340
544,59,,siteSC-9A,,Y,90,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,13686.388025743257458,4621557.625487340614200,4.621557625487340
545,60,,siteSCoutlet170710,,Y,90,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,13686.388025743257458,4621557.625487340614200,4.621557625487340
546,61,,siteSCoutlet170807,,Y,90,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,13686.388025743257458,4621557.625487340614200,4.621557625487340
547,79,,siteSC-5B,,Y,90,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,13686.388025743257458,4621557.625487340614200,4.621557625487340
548,80,,siteSC-6B,,Y,90,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,13686.388025743257458,4621557.625487340614200,4.621557625487340
549,83,,siteSC-7B,,Y,90,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,13686.388025743257458,4621557.625487340614200,4.621557625487340
550,57,,SC-8B,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,1621.649600532454997,75585.001750270850607,0.075585001750271
551,59,,siteSC-9A,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,1621.649600532454997,75585.001750270850607,0.075585001750271
552,60,,siteSCoutlet170710,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,1621.649600532454997,75585.001750270850607,0.075585001750271
553,61,,siteSCoutlet170807,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,1621.649600532454997,75585.001750270850607,0.075585001750271
554,79,,siteSC-5B,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,1621.649600532454997,75585.001750270850607,0.075585001750271
555,80,,siteSC-6B,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,1621.649600532454997,75585.001750270850607,0.075585001750271
556,83,,siteSC-7B,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,1621.649600532454997,75585.001750270850607,0.075585001750271
557,57,,SC-8B,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,5149.994808583751364,395874.502668838249519,0.395874502668838
558,59,,siteSC-9A,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,5149.994808583751364,395874.502668838249519,0.395874502668838
559,60,,siteSCoutlet170710,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,5149.994808583751364,395874.502668838249519,0.395874502668838
560,61,,siteSCoutlet170807,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,5149.994808583751364,395874.502668838249519,0.395874502668838
561,79,,siteSC-5B,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,5149.994808583751364,395874.502668838249519,0.395874502668838
562,80,,siteSC-6B,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,5149.994808583751364,395874.502668838249519,0.395874502668838
563,83,,siteSC-7B,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,5149.994808583751364,395874.502668838249519,0.395874502668838
564,57,,SC-8B,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,39013.537671699516068,23030028.753950271755457,23.030028753950269
565,59,,siteSC-9A,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,39013.537671699516068,23030028.753950271755457,23.030028753950269
566,60,,siteSCoutlet170710,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,39013.537671699516068,23030028.753950271755457,23.030028753950269
567,61,,siteSCoutlet170807,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,39013.537671699516068,23030028.753950271755457,23.030028753950269
568,79,,siteSC-5B,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,39013.537671699516068,23030028.753950271755457,23.030028753950269
569,80,,siteSC-6B,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,39013.537671699516068,23030028.753950271755457,23.030028753950269
570,83,,siteSC-7B,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,39013.537671699516068,23030028.753950271755457,23.030028753950269
571,57,,SC-8B,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3064.318939437383051,396316.883281722199172,0.396316883281722
572,59,,siteSC-9A,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3064.318939437383051,396316.883281722199172,0.396316883281722
573,60,,siteSCoutlet170710,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3064.318939437383051,396316.883281722199172,0.396316883281722
574,61,,siteSCoutlet170807,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3064.318939437383051,396316.883281722199172,0.396316883281722
575,79,,siteSC-5B,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3064.318939437383051,396316.883281722199172,0.396316883281722
576,80,,siteSC-6B,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3064.318939437383051,396316.883281722199172,0.396316883281722
577,83,,siteSC-7B,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3064.318939437383051,396316.883281722199172,0.396316883281722
578,57,,SC-8B,,Y,103,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,26735.539119680488511,16934640.671364322304726,16.934640671364320
579,59,,siteSC-9A,,Y,103,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,26735.539119680488511,16934640.671364322304726,16.934640671364320
580,60,,siteSCoutlet170710,,Y,103,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,26735.539119680488511,16934640.671364322304726,16.934640671364320
581,61,,siteSCoutlet170807,,Y,103,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,26735.539119680488511,16934640.671364322304726,16.934640671364320
582,79,,siteSC-5B,,Y,103,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,26735.539119680488511,16934640.671364322304726,16.934640671364320
583,80,,siteSC-6B,,Y,103,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,26735.539119680488511,16934640.671364322304726,16.934640671364320
584,83,,siteSC-7B,,Y,103,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,26735.539119680488511,16934640.671364322304726,16.934640671364320
585,57,,SC-8B,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,65736.659424821395078,75641326.191914081573486,75.641326191914075
586,59,,siteSC-9A,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,65736.659424821395078,75641326.191914081573486,75.641326191914075
587,60,,siteSCoutlet170710,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,65736.659424821395078,75641326.191914081573486,75.641326191914075
588,61,,siteSCoutlet170807,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,65736.659424821395078,75641326.191914081573486,75.641326191914075
589,79,,siteSC-5B,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,65736.659424821395078,75641326.191914081573486,75.641326191914075
590,80,,siteSC-6B,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,65736.659424821395078,75641326.191914081573486,75.641326191914075
591,83,,siteSC-7B,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,65736.659424821395078,75641326.191914081573486,75.641326191914075
592,12,,SDDN150704,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4170.677579638882889,113760.722895151600824,0.113760722895152
593,13,,site48,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4170.677579638882889,113760.722895151600824,0.113760722895152
594,14,,SDDNTS100150704,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4170.677579638882889,113760.722895151600824,0.113760722895152
595,15,,SDDNTS200150704,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4170.677579638882889,113760.722895151600824,0.113760722895152
596,16,,SDDNTS300150704,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4170.677579638882889,113760.722895151600824,0.113760722895152
597,17,,SDDNTS400150704,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4170.677579638882889,113760.722895151600824,0.113760722895152
598,46,,S3INTSINFLOW3160730,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4170.677579638882889,113760.722895151600824,0.113760722895152
599,47,,S3DNTS7160730,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,4170.677579638882889,113760.722895151600824,0.113760722895152
600,12,,SDDN150704,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2214.873773125521893,52060.945421636948595,0.052060945421637
601,13,,site48,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2214.873773125521893,52060.945421636948595,0.052060945421637
602,14,,SDDNTS100150704,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2214.873773125521893,52060.945421636948595,0.052060945421637
603,15,,SDDNTS200150704,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2214.873773125521893,52060.945421636948595,0.052060945421637
604,16,,SDDNTS300150704,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2214.873773125521893,52060.945421636948595,0.052060945421637
605,17,,SDDNTS400150704,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2214.873773125521893,52060.945421636948595,0.052060945421637
606,46,,S3INTSINFLOW3160730,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2214.873773125521893,52060.945421636948595,0.052060945421637
607,47,,S3DNTS7160730,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2214.873773125521893,52060.945421636948595,0.052060945421637
608,37,,SEDNTS1000150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2193.377779154635846,34179.277451254114567,0.034179277451254
609,38,,HAUPTS2160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2193.377779154635846,34179.277451254114567,0.034179277451254
610,39,,HAUPTS22160726,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2193.377779154635846,34179.277451254114567,0.034179277451254
611,41,,HADNTS3160726,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2193.377779154635846,34179.277451254114567,0.034179277451254
612,42,,S2UPTS4160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2193.377779154635846,34179.277451254114567,0.034179277451254
613,44,,S2DNTS5160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2193.377779154635846,34179.277451254114567,0.034179277451254
614,45,,S3UPTS6160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2193.377779154635846,34179.277451254114567,0.034179277451254
615,47,,S3DNTS7160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2193.377779154635846,34179.277451254114567,0.034179277451254
616,57,,SC-8B,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,12077.916287595126050,2653471.739281491376460,2.653471739281491
617,59,,siteSC-9A,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,12077.916287595126050,2653471.739281491376460,2.653471739281491
618,60,,siteSCoutlet170710,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,12077.916287595126050,2653471.739281491376460,2.653471739281491
619,61,,siteSCoutlet170807,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,12077.916287595126050,2653471.739281491376460,2.653471739281491
620,69,,site20,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,12077.916287595126050,2653471.739281491376460,2.653471739281491
621,79,,siteSC-5B,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,12077.916287595126050,2653471.739281491376460,2.653471739281491
622,80,,siteSC-6B,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,12077.916287595126050,2653471.739281491376460,2.653471739281491
623,83,,siteSC-7B,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,12077.916287595126050,2653471.739281491376460,2.653471739281491
624,57,,SC-8B,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,17866.128090805646934,4213563.994914775714278,4.213563994914775
625,59,,siteSC-9A,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,17866.128090805646934,4213563.994914775714278,4.213563994914775
626,60,,siteSCoutlet170710,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,17866.128090805646934,4213563.994914775714278,4.213563994914775
627,61,,siteSCoutlet170807,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,17866.128090805646934,4213563.994914775714278,4.213563994914775
628,70,,site19,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,17866.128090805646934,4213563.994914775714278,4.213563994914775
629,79,,siteSC-5B,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,17866.128090805646934,4213563.994914775714278,4.213563994914775
630,80,,siteSC-6B,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,17866.128090805646934,4213563.994914775714278,4.213563994914775
631,83,,siteSC-7B,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,17866.128090805646934,4213563.994914775714278,4.213563994914775
632,57,,SC-8B,,Y,51,JKH,Husky,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Shale,Siltstone,NA,NA,brownish grey shale; marine,5879.536672360844022,1280149.097082442836836,1.280149097082443
633,59,,siteSC-9A,,Y,51,JKH,Husky,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Shale,Siltstone,NA,NA,brownish grey shale; marine,5879.536672360844022,1280149.097082442836836,1.280149097082443
634,60,,siteSCoutlet170710,,Y,51,JKH,Husky,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Shale,Siltstone,NA,NA,brownish grey shale; marine,5879.536672360844022,1280149.097082442836836,1.280149097082443
635,61,,siteSCoutlet170807,,Y,51,JKH,Husky,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Shale,Siltstone,NA,NA,brownish grey shale; marine,5879.536672360844022,1280149.097082442836836,1.280149097082443
636,70,,site19,,Y,51,JKH,Husky,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Shale,Siltstone,NA,NA,brownish grey shale; marine,5879.536672360844022,1280149.097082442836836,1.280149097082443
637,79,,siteSC-5B,,Y,51,JKH,Husky,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Shale,Siltstone,NA,NA,brownish grey shale; marine,5879.536672360844022,1280149.097082442836836,1.280149097082443
638,80,,siteSC-6B,,Y,51,JKH,Husky,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Shale,Siltstone,NA,NA,brownish grey shale; marine,5879.536672360844022,1280149.097082442836836,1.280149097082443
639,83,,siteSC-7B,,Y,51,JKH,Husky,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Shale,Siltstone,NA,NA,brownish grey shale; marine,5879.536672360844022,1280149.097082442836836,1.280149097082443
640,57,,SC-8B,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2362.198831701748077,165955.211294339242158,0.165955211294339
641,59,,siteSC-9A,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2362.198831701748077,165955.211294339242158,0.165955211294339
642,60,,siteSCoutlet170710,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2362.198831701748077,165955.211294339242158,0.165955211294339
643,61,,siteSCoutlet170807,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2362.198831701748077,165955.211294339242158,0.165955211294339
644,70,,site19,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2362.198831701748077,165955.211294339242158,0.165955211294339
645,79,,siteSC-5B,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2362.198831701748077,165955.211294339242158,0.165955211294339
646,80,,siteSC-6B,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2362.198831701748077,165955.211294339242158,0.165955211294339
647,83,,siteSC-7B,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2362.198831701748077,165955.211294339242158,0.165955211294339
648,57,,SC-8B,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,13782.147865508910400,3443302.463822063989937,3.443302463822064
649,59,,siteSC-9A,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,13782.147865508910400,3443302.463822063989937,3.443302463822064
650,60,,siteSCoutlet170710,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,13782.147865508910400,3443302.463822063989937,3.443302463822064
651,61,,siteSCoutlet170807,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,13782.147865508910400,3443302.463822063989937,3.443302463822064
652,70,,site19,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,13782.147865508910400,3443302.463822063989937,3.443302463822064
653,79,,siteSC-5B,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,13782.147865508910400,3443302.463822063989937,3.443302463822064
654,80,,siteSC-6B,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,13782.147865508910400,3443302.463822063989937,3.443302463822064
655,83,,siteSC-7B,,Y,101,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,13782.147865508910400,3443302.463822063989937,3.443302463822064
656,57,,SC-8B,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,10019.751078454650269,2924777.666377324145287,2.924777666377324
657,59,,siteSC-9A,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,10019.751078454650269,2924777.666377324145287,2.924777666377324
658,60,,siteSCoutlet170710,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,10019.751078454650269,2924777.666377324145287,2.924777666377324
659,61,,siteSCoutlet170807,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,10019.751078454650269,2924777.666377324145287,2.924777666377324
660,71,,site5,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,10019.751078454650269,2924777.666377324145287,2.924777666377324
661,79,,siteSC-5B,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,10019.751078454650269,2924777.666377324145287,2.924777666377324
662,80,,siteSC-6B,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,10019.751078454650269,2924777.666377324145287,2.924777666377324
663,83,,siteSC-7B,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,10019.751078454650269,2924777.666377324145287,2.924777666377324
664,57,,SC-8B,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,10029.114097194402348,4242104.617261793464422,4.242104617261793
665,59,,siteSC-9A,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,10029.114097194402348,4242104.617261793464422,4.242104617261793
666,60,,siteSCoutlet170710,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,10029.114097194402348,4242104.617261793464422,4.242104617261793
667,61,,siteSCoutlet170807,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,10029.114097194402348,4242104.617261793464422,4.242104617261793
