OID_,FID_Ch5_region_surf_geol_NAD83UTMZn8N,Type,Name,FID_revisedsite10wpoly_nad83zn8,HydroID,CREATED,Shape_Length,Shape_Area
1,2,P,Piedmont,1,0,2021-10-11 19:02:44,149042.727434691827511,47430260.141964107751846
2,5,O,Organic,1,0,2021-10-11 19:02:44,28440.389063239370444,2712949.031300850678235
3,6,M,Moraine,1,0,2021-10-11 19:02:44,63417.489786877646111,23361300.897081911563873
4,9,C,Colluvial,1,0,2021-10-11 19:02:44,127337.595689670662978,29117327.007882703095675
5,10,A,Alluvial,1,0,2021-10-11 19:02:44,17703.865044018111803,3033749.262242209166288
