OID_,FID_allslumpsclippedtowatershed,FID_Peel_Slumps_2016,OBJECTID,SHAPE_Leng,SLUMP_ID,STATUS,GEOMORPH,SECONDARY,CONNECTIVI,RIPARIAN,NOTES,IMAGE_SOUR,IMAGE_DATE,FID_rts_delineations_stony_sarahaddCB,FID_rts_delineations_stony,OBJECTID_1,SHAPE_Leng_1,SLUMP_ID_1,STATUS_1,GEOMORPH_1,SECONDARY_1,CONNECTIVI_1,RIPARIAN_1,NOTES_1,IMAGE_SOUR_1,IMAGE_DATE_1,mapped,FID_Peel_Slumps_2016_CB,OBJECTID_12,SHAPE_Leng_12,SLUMP_ID_12,STATUS_12,GEOMORPH_12,SECONDARY_12,CONNECTIVI_12,RIPARIAN_12,NOTES_12,IMAGE_SOUR_12,IMAGE_DATE_12,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,Shape_Length,Shape_Area
19,33,102,173,239.330872472000010,104,1,1,0,1,0,D1,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,46,,S3INTSINFLOW3160730,,Y,239.330872471842270,2274.677679927150621
20,33,102,173,239.330872472000010,104,1,1,0,1,0,D1,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,239.330872471842270,2274.677679927150621
21,34,110,187,956.961141448000035,112,1,1,0,1,0, ,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,46,,S3INTSINFLOW3160730,,Y,956.961141447763907,33066.728025084012188
22,34,110,187,956.961141448000035,112,1,1,0,1,0, ,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,956.961141447763907,33066.728025084012188
23,35,111,188,222.128770505000006,113,1,1,0,0,1, ,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,46,,S3INTSINFLOW3160730,,Y,222.128770504781301,2368.562774389090009
24,35,111,188,222.128770505000006,113,1,1,0,0,1, ,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,222.128770504781301,2368.562774389090009
25,163,105,179,965.588325966999946,107,1,1,0,1,0, ,1,2,111,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,1,179,965.588325966999946,107,1,1,0,1,0, ,1,2,46,,S3INTSINFLOW3160730,,Y,392.460852225853330,1558.852344928045341
26,163,105,179,965.588325966999946,107,1,1,0,1,0, ,1,2,111,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,1,179,965.588325966999946,107,1,1,0,1,0, ,1,2,47,,S3DNTS7160730,,Y,392.460852225853330,1558.852344928045341
27,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,8,,site42,,Y,11767.259102011263167,4224707.336935826577246
28,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,46,,S3INTSINFLOW3160730,,Y,11767.259102011263167,4224707.336935826577246
29,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,11767.259102011263167,4224707.336935826577246
30,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,9,,site53,,Y,9609.948678284890775,1750938.991134105017409
31,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,46,,S3INTSINFLOW3160730,,Y,9609.948678284890775,1750938.991134105017409
32,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,9609.948678284890775,1750938.991134105017409
33,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,10,,site27,,Y,7068.348439632050031,867103.372661610832438
34,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,46,,S3INTSINFLOW3160730,,Y,7068.348439632050031,867103.372661610832438
35,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,7068.348439632050031,867103.372661610832438
36,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,17,,SDDNTS400150704,,Y,3983.760148978674351,43134.926289962328156
37,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,46,,S3INTSINFLOW3160730,,Y,3983.760148978674351,43134.926289962328156
38,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,3983.760148978674351,43134.926289962328156
39,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,44,,S2DNTS5160617,,Y,1574.004927632594899,17606.771800993436045
40,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,45,,S3UPTS6160730,,Y,1574.004927632594899,17606.771800993436045
41,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,47,,S3DNTS7160730,,Y,1574.004927632594899,17606.771800993436045
