OID_,FID_watercourse_acc_count_jk_nad83zn8,waterbody,impact,type,psuedo,acc_val,distant,count,RivID,Fnode,Tnode,Strahler,Segment,acc,acc_count,FID_revisedsite10wpoly_nad83zn8,HydroID,CREATED,Shape_Length
114,1707,,,,,,,,1905,1889,1877,1,933,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,44.747959768534940
115,1714,,,,,,,,1912,1896,1897,1,866,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,2313.430375711182478
116,1715,,1,2,,,,,1913,1898,1887,4,909,5.000000000000000,5.000000000000000,1,0,2021-10-11 19:02:44,628.919404178137484
117,1716,,,,,,,,1914,1899,1887,1,912,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,395.717594957758934
118,1717,,,,,,,,1916,1901,1898,1,865,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,22.677040977434260
119,1722,,,,,,,,1922,1907,1908,1,938,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,306.790223755951843
120,1723,,,,,,,,1923,1897,1909,2,868,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,290.643929084631282
121,1724,,,,,,,,1924,1910,1911,2,868,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,59.569146686263920
122,1725,,,,,,,,1926,1912,1913,2,881,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,270.898170974156017
123,1726,,,,,,,,1929,1915,1916,3,944,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,460.587908381616671
124,1727,,,,,,,,1931,1918,1919,1,879,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,449.409435876017596
125,1728,,,,,,,,1933,1920,1912,1,879,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,989.539610655704450
126,1731,,,,,,,,1937,1924,1912,1,880,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,722.913356565869321
127,1732,,,,,,,,1938,1925,1897,1,867,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,868.651096838617264
128,1735,,1,2,,,,,1941,1928,1898,4,909,5.000000000000000,5.000000000000000,1,0,2021-10-11 19:02:44,623.336281450321962
129,1736,,,,,,,,1942,1929,1930,1,935,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,1113.770834650178585
130,1737,,,,,,,,1944,1908,1931,2,940,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,36.712722559167524
131,1738,,,,,,,,1945,1932,1933,2,940,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,486.601676961922408
132,1746,,,,,,,,1956,1943,1944,1,878,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,667.509591655624718
133,1747,,,,,,,,1957,1933,1945,3,944,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,28.340353585414988
134,1748,,,,,,,,1960,1948,1949,3,944,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,140.773607829659852
135,1749,,,,,,,,1961,1946,1947,3,944,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,84.056600223542176
136,1751,,1,2,,,,,1964,1951,1911,4,909,4.000000000000000,4.000000000000000,1,0,2021-10-11 19:02:44,483.396135219390317
137,1755,,1,3,,1,1,1,1968,1911,1928,4,909,5.000000000000000,5.000000000000000,1,0,2021-10-11 19:02:44,2655.809643612063610
138,1756,,1,1,,1,,1,1969,1913,1944,2,881,1.000000000000000,1.000000000000000,1,0,2021-10-11 19:02:44,1827.942438452447050
139,1758,,,,,,,,1971,1956,1957,1,939,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,1392.315886477866343
140,1759,,,,,,,,1973,1958,1959,1,939,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,54.060955034014086
141,1760,,,,,,,,1974,1960,1908,1,939,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,621.746979263104777
142,1761,,,,,,,,1977,1962,1933,2,943,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,623.365039582535587
143,1762,,,,,,,,1978,1963,1964,1,936,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,823.767262683910531
144,1763,,,,,,,,1981,1966,1967,2,871,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,312.920160083993665
145,1764,,,,,,,,1982,1968,1951,2,871,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,1.973992404138527
146,1765,,,,,,,,1984,1969,1970,1,869,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,4.191193754485692
147,1771,,,,,,,,1992,1976,1913,1,882,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,731.753722321212081
148,1772,,,,,,,,1993,1977,1928,1,911,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,761.734636097967041
149,1774,,,,,,,,1995,1979,1980,1,870,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,69.981183752910283
150,1781,,,,,,,,2003,1988,1989,1,872,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,2066.786785858504118
151,1782,,,,,,,,2004,1990,1989,1,873,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,371.605081918628457
152,1784,,1,2,,,,,2006,1992,1951,4,909,4.000000000000000,4.000000000000000,1,0,2021-10-11 19:02:44,846.938699579667173
153,1786,,1,2,,,,,2008,1994,1992,4,909,4.000000000000000,4.000000000000000,1,0,2021-10-11 19:02:44,103.799102651825734
154,1789,,,,,,,,2011,1997,1998,1,883,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,894.780169422247241
155,1790,,,,,,,,2012,1999,2000,1,942,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,635.381013799175889
156,1792,,,,,,,,2015,2002,2003,1,884,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,319.747748504285539
157,1793,,,,,,,,2017,2005,1992,1,910,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,133.106792751083617
158,1795,,,,,,,,2019,1998,2007,2,886,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,886.229626157301936
159,1796,,1,2,,,,,2020,1944,2008,2,881,1.000000000000000,1.000000000000000,1,0,2021-10-11 19:02:44,1418.892632233221775
160,1797,,,,,,,,2021,2007,2008,2,886,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,291.083355437476484
161,1802,,,,,,,,2026,2015,2007,1,887,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,700.504721148609633
162,1804,,,,,,,,2028,1989,2018,2,874,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,1631.653160989183107
163,1805,,,,,,,,2030,2019,1994,2,874,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,54.446254952201073
164,1808,,1,2,,,,,2033,2022,1994,4,909,4.000000000000000,4.000000000000000,1,0,2021-10-11 19:02:44,771.856378761247697
165,1813,,,,,,,,2038,2027,2028,1,875,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,895.008061606331012
166,1814,,,,,,,,2039,2028,2029,2,877,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,83.845421505961582
167,1815,,,,,,,,2041,2030,2022,2,877,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,388.584789684992302
168,1818,,,,,,,,2044,2033,2028,1,876,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,361.699784027930889
169,1824,,1,2,,,,,2050,2008,2039,3,888,1.000000000000000,1.000000000000000,1,0,2021-10-11 19:02:44,1685.536065645360850
170,1833,,,,,,,,2059,2047,2039,1,889,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,1120.169244668583133
171,1834,,1,1,,1,,1,2060,2048,2049,1,892,1.000000000000000,1.000000000000000,1,0,2021-10-11 19:02:44,1099.528964904705390
172,1836,,,,,,,,2062,2051,2052,1,890,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,696.931127633210508
173,1837,,1,2,,,,,2063,2053,2054,4,909,4.000000000000000,4.000000000000000,1,0,2021-10-11 19:02:44,85.095700421604889
174,1838,,1,2,,,,,2065,2056,2022,4,909,4.000000000000000,4.000000000000000,1,0,2021-10-11 19:02:44,1787.694150620827713
175,1839,,1,2,,,,,2066,2057,2055,4,909,4.000000000000000,4.000000000000000,1,0,2021-10-11 19:02:44,293.049286177860779
176,1842,,1,2,,,,,2070,2049,2060,2,894,2.000000000000000,2.000000000000000,1,0,2021-10-11 19:02:44,739.438358484619471
177,1843,,1,2,,,,,2071,2060,2061,3,899,2.000000000000000,2.000000000000000,1,0,2021-10-11 19:02:44,173.762153046404592
178,1844,,1,2,,,,,2072,2052,2062,3,899,3.000000000000000,3.000000000000000,1,0,2021-10-11 19:02:44,878.221474125440409
179,1845,,1,2,,,,,2073,2039,2053,3,888,1.000000000000000,1.000000000000000,1,0,2021-10-11 19:02:44,1221.946794448496576
180,1847,,,,,,,,2075,2064,2065,1,891,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,1595.082362459328806
181,1848,,1,2,,,,,2076,2065,2052,3,899,3.000000000000000,3.000000000000000,1,0,2021-10-11 19:02:44,424.355257859812014
182,1849,,1,2,,,,,2077,2066,2065,3,899,3.000000000000000,3.000000000000000,1,0,2021-10-11 19:02:44,465.605790238866689
183,1854,,1,1,,1,,1,2082,2070,2049,1,893,1.000000000000000,1.000000000000000,1,0,2021-10-11 19:02:44,1099.262093097509933
184,1855,,1,2,,,,,2083,2062,2071,3,899,3.000000000000000,3.000000000000000,1,0,2021-10-11 19:02:44,1189.870192831106806
185,1860,,1,2,,,,,2088,2061,2066,3,899,3.000000000000000,3.000000000000000,1,0,2021-10-11 19:02:44,1672.361127805326987
186,1862,,1,2,,,,,2090,2071,2075,3,899,3.000000000000000,3.000000000000000,1,0,2021-10-11 19:02:44,616.082345807122692
187,1866,,,,,,,,2094,2080,2075,1,907,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,190.855739912263857
188,1867,,,,,,,,2095,2081,2062,1,905,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,631.811812233645583
189,1868,,1,2,,,,,2096,2075,2082,3,899,3.000000000000000,3.000000000000000,1,0,2021-10-11 19:02:44,664.073175054657668
