OID_,FID_rts_delineations_stony_sarahaddCB,FID_rts_delineations_stony,OBJECTID,SHAPE_Leng,SLUMP_ID,STATUS,GEOMORPH,SECONDARY,CONNECTIVI,RIPARIAN,NOTES,IMAGE_SOUR,IMAGE_DATE,mapped,FID_Peel_Slumps_2016_CB,OBJECTID_12,SHAPE_Leng_1,SLUMP_ID_1,STATUS_1,GEOMORPH_1,SECONDARY_1,CONNECTIVI_1,RIPARIAN_1,NOTES_1,IMAGE_SOUR_1,IMAGE_DATE_1,FID_revisedsite10wpoly_nad83zn8,HydroID,CREATED,Shape_Length,Shape_Area
1,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,95812.189193019774393,105088407.674977049231529
2,63,63,170,288.001327385000025,101,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,288.001327378376857,4592.857118672023716
3,64,64,171,817.271048936000057,102,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,817.271048958651136,26002.778209333722771
4,65,65,174,299.882333309999979,105,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,299.882333308042746,2931.006657397078470
5,66,66,178,801.285367873000041,106,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,801.285367875912812,23019.267370668567310
6,75,75,257,502.698585341000012,164,1,2,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,502.698585326331170,12600.614449714301372
7,87,87,295,9141.977388190000056,191,1,1,1,1,0, ,1,1,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,8718.308330516458227,485577.154345033457503
8,91,91,322,687.454495725000015,211,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,687.454495728898451,12454.974905093036796
