,x,,,,,
91,DIblank1_080217_1a_Absorbance_16-29-47-752,,,,,
92,DIblank1_080217_1b_Absorbance_16-33-42-301,,,,,
93,DIblank1_080617_1a_Absorbance_15-05-29-417,,,,,
94,DIblank1_080617_1b_Absorbance_15-07-06-156,,,,,
95,DIblank1_081117_1a_Absorbance_10-01-25-774,,,,,
96,DIblank1_081117_1b_Absorbance_10-06-05-772,,,,,
97,DIblank2_080217_1a_Absorbance_17-27-45-954,,,,,
98,DIblank2_080217_1b_Absorbance_17-31-54-284,,,,,
99,DIblank2_080617_1a_Absorbance_16-00-59-154,,,,,
100,DIblank2_080617_1b_Absorbance_16-03-21-908,,,,,
101,DIblank2_081117_1a_Absorbance_11-09-32-071,,,,,
102,DIblank2_081117_1b_Absorbance_11-12-21-069,,,,,
103,DIblank3_072817_1a_Absorbance_18-43-57-172,,,,,
104,DIblank3_072817_1b_Absorbance_18-47-42-182,,,,,
105,DIblank3_080617_1a_Absorbance_16-15-11-733,,,,,
106,DIblank3_080617_1b_Absorbance_16-17-32-710,,,,,
107,DIblank3_081117_1a_Absorbance_11-25-32-443,,,,,
108,DIblank3_081117_1b_Absorbance_11-27-57-435,,,,,
109,DIblank4_072817_1a_Absorbance_19-32-34-260,,,,,
110,DIblank4_072817_1b_Absorbance_19-35-01-022,,,,,
111,SC_080717-2_1a_Absorbance_11-04-13-075,,,,,X
112,SC_080717-2_1b_Absorbance_11-06-58-073,,,,,X
113,SC_080717_1a_Absorbance_10-38-45-446,,,,,X
114,SC_080717_1b_Absorbance_10-41-20-330,,,,,X
115,StonyCreek_071017_1_1a_Absorbance_22-05-28-000,,,,,X
116,StonyCreek_071017_1_1b_Absorbance_22-05-57-683,,,,,X
117,StonyCreek_071017_2_1a_Absorbance_22-32-34-618,,,,,X
118,StonyCreek_071017_2_1b_Absorbance_22-34-20-716,,,,,X
