OID_,Name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,site45,1,52276.000000000000000,11282835.033725831657648,0.000000000000000,86.213752746582031,86.213752746582031,11.951888342953509,12.320463889897928,624796.915016237646341,7.653123855590820,30.460111618041992
2,site1,2,4440.000000000000000,958294.199053919408470,0.000000000000000,49.413635253906250,49.413635253906250,6.447512781508991,7.798598105259184,28626.956749899916758,3.284107089042664,16.102613449096680
3,site40alt1,3,5766.000000000000000,1244487.466609211638570,0.001669261138886,49.324382781982422,49.322713520843536,6.779782485723137,7.486375138503534,39092.225812679607770,3.743104815483093,18.027775764465332
4,site26,4,19694.000000000000000,4250595.936073848977685,0.000000000000000,84.020668029785156,84.020668029785156,12.865233593145348,10.905646927983460,253367.910383404494496,10.404871463775635,27.321241378784180
5,site31,5,22490.000000000000000,4854062.283045641146600,0.000000000000000,86.706542968750000,86.706542968750000,15.463015601879862,13.020684293176387,347763.220886278082617,12.472299575805664,32.973800277709962
6,site32,6,39067.000000000000000,8431909.791540421545506,0.000000000000000,101.897460937500000,101.897460937500000,16.634290845247794,13.735819899637230,649851.840451295603998,12.817607879638672,35.745118713378908
7,site30,7,7576.000000000000000,1635143.435142453527078,0.000000000000000,69.121665954589844,69.121665954589844,9.562765435055661,11.193116447513010,72447.510935981685179,5.114588260650635,25.240036010742188
8,site42,8,19586.000000000000000,4227286.077177942730486,0.000000000000000,92.555282592773438,92.555282592773438,10.891851356423238,11.233945749837774,213327.800666905561229,7.476029634475708,26.057875633239746
9,site53,9,8104.000000000000000,1749102.745300216833130,0.013941374607384,89.341957092285156,89.328015717677772,13.021303622659643,12.807201431257868,105524.644558033745852,8.493499279022217,30.874740028381346
10,site27,10,4034.000000000000000,870666.396167457452975,0.000000000000000,31.054309844970703,31.054309844970703,2.563853199960257,2.998847690392848,10342.583808639676135,1.663116812705994,5.590964221954348
11,SDUP150704,11,4272.000000000000000,922034.418549176538363,0.000000000000000,43.689540863037109,43.689540863037109,2.755408520785017,3.756282882881090,11771.105200793590484,1.560950696468353,6.055336904525760
12,SDDN150704,12,5044.000000000000000,1088656.743249542778358,0.000000000000000,61.966712951660156,61.966712951660156,3.136860462234256,4.616769302962524,15822.324171509586449,1.680924832820892,6.902449035644526
13,site48,13,5051.000000000000000,1090167.567437240388244,0.000000000000000,61.966712951660156,61.966712951660156,3.150198559120954,4.628475223724442,15911.652922119936193,1.683326601982117,6.984814643859863
14,SDDNTS100150704,14,5141.000000000000000,1109592.449850495439023,0.000000000000000,61.966712951660156,61.966712951660156,3.160652723432924,4.611230469433514,16248.915651168665136,1.708088278770447,6.990394592285156
15,SDDNTS200150704,15,5379.000000000000000,1160960.472232214640826,0.000000000000000,61.966712951660156,61.966712951660156,3.147695952936033,4.553964283624135,16931.456530842922803,1.726534605026245,7.040972328186034
16,SDDNTS300150704,16,5806.000000000000000,1253120.747681769309565,0.000000000000000,61.966712951660156,61.966712951660156,3.172534214303184,4.432473115092400,18419.733648244284268,1.792661249637604,7.108483791351318
17,SDDNTS400150704,17,6017.000000000000000,1298661.305339511949569,0.000000000000000,61.966712951660156,61.966712951660156,3.152804228165448,4.369865797114005,18970.423040871497506,1.782290697097778,6.977496528625490
