system:index,HydroID,LakeAddChe,Name,Shape_Area,Shape_Leng,WatershedA,mean
0000000000000000003b,0,Y,siteSCoutlet170710,1.03E+09,263523.1099,0,375.3112589
0000000000000000003c,0,Y,siteSCoutlet170807,1.03E+09,267972.9067,0,375.3584738
0000000000000000003d,0,Y,site3,6.14E+07,50419.71437,0,280.9711043
0000000000000000003e,0,Y,siteSC-1A,1.91E+07,29007.82242,0,197.3160743
0000000000000000003f,0,Y,siteSC-2B,1.08E+08,63330.06746,0,273.6199364
40,0,Y,site8,8653723.222,26835.75552,0,357.5942465
41,0,Y,site29,1.38E+07,24802.42351,0,354.6523605
42,0,Y,site0,6788990.946,15113.24482,0,397.3417636
43,0,Y,siteSC-3B,1.43E+08,80412.83247,0,297.5950321
0,0,Y,site45,1.13E+07,19466.2695,0,242.31571
1,0,Y,site1,957737.635,6129.190583,0,325.7121515
2,0,Y,site40alt1,1242508.954,7194.044193,0,294.6491548
3,0,Y,site26,4254748.88,13463.78875,0,259.8920626
4,0,Y,site31,4852182.012,15583.04631,0,227.0177164
5,0,Y,site32,8430568.275,17714.52385,0,234.7345788
6,0,Y,site30,1635873.819,7480.047959,0,281.7331218
7,0,Y,site42,4228536.391,11471.6213,0,289.4730059
8,0,Y,site53,1750938.991,9609.948678,0,307.4820935
9,0,Y,site27,867103.3684,7068.348341,0,365.7123353
0000000000000000000a,0,Y,SDUP150704,923255.6743,5570.449787,0,359.5906228
0000000000000000000b,0,Y,SDDN150704,1089077.33,6210.417495,0,360.2887224
0000000000000000000c,0,Y,site48,1090124.429,6349.769336,0,360.3278488
0000000000000000000d,0,Y,SDDNTS100150704,1110435.487,6396.227028,0,360.6450275
0000000000000000000e,0,Y,SDDNTS200150704,1160475.386,6690.215488,0,360.8823475
0000000000000000000f,0,Y,SDDNTS300150704,1255120.479,6912.094798,0,361.3525856
10,0,Y,SDDNTS400150704,1298255.408,7087.512259,0,361.4600376
11,0,Y,SEUP160617,5309182.143,13667.67429,0,344.9681468
12,0,Y,SEUP150706,5326374.866,13667.66832,0,345.1147606
13,0,Y,SEDN160725,5445060.752,13930.80574,0,345.9291704
14,0,Y,SEDN150706,5543193.546,14165.54221,0,346.6310975
15,0,Y,SEDN160617,5573806.456,14255.82075,0,346.8686522
16,0,Y,SEDNTS100150706,5608195.59,14309.99018,0,347.1185212
17,0,Y,SEDNTS100150821,5628325.018,14382.21565,0,347.2544821
18,0,Y,SEDNTS200150706,5673610.182,14629.89291,0,347.626409
19,0,Y,SEDNTS200150821,5717015.969,14684.06947,0,347.945121
0000000000000000001a,0,Y,SEDNTSA160725,5757062.854,14874.96238,0,348.2544321
0000000000000000001b,0,Y,SEDNTSB160725,793522.5704,6007.532776,0,370.599982
0000000000000000001c,0,Y,SEDNTSC160725,6561698.837,15595.17638,0,351.0255716
0000000000000000001d,0,Y,SEDNTS400150706,6579103.12,15631.28914,0,351.1129442
0000000000000000001e,0,Y,SEDNTS400150821,6623136.521,15649.33772,0,351.3663354
0000000000000000001f,0,Y,SEDNTS600150706,6738042.688,15884.06925,0,352.0552421
