OID_,FID_rts_delineations_stony_sarahaddCB,FID_rts_delineations_stony,OBJECTID,SHAPE_Leng,SLUMP_ID,STATUS,GEOMORPH,SECONDARY,CONNECTIVI,RIPARIAN,NOTES,IMAGE_SOUR,IMAGE_DATE,mapped,FID_Peel_Slumps_2016_CB,OBJECTID_12,SHAPE_Leng_1,SLUMP_ID_1,STATUS_1,GEOMORPH_1,SECONDARY_1,CONNECTIVI_1,RIPARIAN_1,NOTES_1,IMAGE_SOUR_1,IMAGE_DATE_1,FID_revisedsite10wpoly_nad83zn8,HydroID,CREATED,Shape_Length,Shape_Area
29,29,29,102,1492.137002200000097,47,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1492.137002199114931,56406.662688298063586
30,30,30,106,975.265164992999985,48,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,975.265165007459814,21000.263893587394705
31,31,31,108,1014.316668380000010,49,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1014.316668386719016,25398.986739608270000
32,32,32,110,442.500141473999975,51,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,442.500141467917047,8399.898888964316939
33,33,33,111,2658.297626810000111,52,1,1,1,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,2658.297626831752950,108315.845399484329391
34,34,34,112,380.519525245000011,53,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,380.519525258747194,5557.273527122468295
35,35,35,115,264.281442142999992,55,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,264.281442137035356,2129.230188208469372
36,36,36,117,287.200652439000010,57,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,287.200652432106892,4148.822188562535302
37,37,37,120,1110.864208369999915,60,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1110.864208384220774,36371.040295465012605
38,38,38,121,997.823100752999949,61,1,2,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,997.823100735463299,40687.299254906705755
39,39,39,123,434.739263252999990,63,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,434.739263260071652,7396.426041564921434
40,40,40,124,442.914267613999982,64,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,442.914267611810089,6780.647245720576393
41,41,41,125,917.282650603999969,65,1,1,1,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,917.282650626233362,19574.133524533004675
42,42,42,127,644.808592022999960,67,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,644.808592018936679,17497.511399752831494
43,43,43,128,445.763110767000001,68,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,445.763110762362658,6617.957260574663451
44,44,44,131,643.307056334999970,70,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,643.307056336007236,17914.180659550969722
45,45,45,134,861.007910161000041,73,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,861.007910173869845,22365.637762960759574
46,46,46,139,924.930159721999985,76,1,1,0,1,0,Image shadows block debris tongue,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,924.930159749018912,50020.268664338058443
47,47,47,141,325.864590518000000,79,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,325.864590530402268,4868.603337681904122
48,48,48,142,683.124670508000008,80,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,683.124670504891014,19052.850513195353415
49,49,49,143,1293.685552180000059,81,1,1,1,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1293.685552178206763,75994.394993225141661
50,50,50,144,1369.871674900000016,82,1,1,1,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1369.871674900179187,71457.348646197278867
51,51,51,146,1261.641992240000036,84,1,1,1,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1261.641992244851508,46212.420435134183208
52,52,52,147,671.113160594999954,85,1,1,1,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,671.113160606083397,22059.871763168433972
