"","site","loc","trans","date","lat","long","notes","year","campaign","trannum","loc2"
"103","SE","DN","TS-0400",2015-07-21,67.1488369,-135.708033,NA,"2015","2015shorttransects",2,"DNTS400m"
"104","SE","DN","TS-0400",2015-08-21,67.148984,-135.707195,"SE tongue moved 25m downstream so shifted all transect points down","2015","2015shorttransects",3,"DNTS400m"
"105","SE","DN","TS-0600",2015-07-06,67.149272,-135.7043899,NA,"2015","2015shorttransects",1,"DNTS600m"
"106","SE","DN","TS-0600",2015-07-21,67.149272,-135.7043899,NA,"2015","2015shorttransects",2,"DNTS600m"
"107","SE","DN","TS-0600",2015-08-21,67.1490818,-135.7045043,"new one not recorded, old one here right now, enough error in Google Earth pro that predicting new one won't make a difference","2015","2015shorttransects",3,"DNTS600m"
"108","SE","DN","TS-0800",2015-07-06,67.149748,-135.7008039,NA,"2015","2015shorttransects",1,"DNTS800m"
"109","SE","DN","TS-0800",2015-07-21,67.149748,-135.7008039,NA,"2015","2015shorttransects",2,"DNTS800m"
"110","SE","DN","TS-0800",2015-08-21,67.1500009,-135.699934,"SE tongue moved 25m downstream so shifted all transect points down","2015","2015shorttransects",3,"DNTS800m"
"111","SE","DN","TS-1000",2015-07-06,67.1503439,-135.6973959,NA,"2015","2015shorttransects",1,"DNTS1000m"
"112","SE","DN","TS-1000",2015-07-21,67.1503439,-135.6973959,NA,"2015","2015shorttransects",2,"DNTS1000m"
"113","SE","DN","TS-1000",2015-08-21,67.150567,-135.696428,"SE tongue moved 25m downstream so shifted all transect points down","2015","2015shorttransects",3,"DNTS1000m"
"114","SE","DN","TS-A",2016-07-25,67.148784,-135.709144,"equivalent to Scott's SE DN2","2016","2016transect",2,"DN"
"115","SE","DN","TS-B",2016-07-25,67.1487619,-135.709122,"this is the inflow between SE DN TS-A and C; equivalent to Scott's SE DN4","2016","2016transect",2,"DN"
"116","SE","DN","TS-C",2016-07-25,67.148769,-135.708973,"equivalent to Scott's SE DN3","2016","2016transect",2,"DN"
"117","SE","IN","SL",2016-08-09,67.1488239,-135.718552,"double check exp2 start date","2016","2016transect",3,"IN"
"118","SE","IN","SMSC",2016-08-09,67.1488239,-135.718552,"double check exp2 start date","2016","2016transect",3,"IN"
"119","SE","IN","SN",2016-08-09,67.1488239,-135.718552,"double check exp2 date","2016","2016transect",3,"IN"
"120","SE","IN","SS-0000",2015-07-06,67.14862,-135.71803,NA,"2015","2015shorttransects",1,"IN"
"121","SE","IN","SS-0000",2015-07-21,67.14862,-135.71803,NA,"2015","2015shorttransects",2,"IN"
"122","SE","IN","SS-0000",2015-08-21,67.14862,-135.71803,NA,"2015","2015shorttransects",3,"IN"
"123","SE","IN","SS-0000",2016-06-17,67.1488239,-135.718552,NA,"2016","2016transect",1,"IN"
"124","SE","IN","SS-0000",2016-07-25,67.1488239,-135.718552,"SEIN SZ2016 in GPS_Data for 2016 Field season (see Google Drive)","2016","2016transect",2,"IN"
"125","SE","IN","SS-0000",2016-08-09,67.1488239,-135.718552,NA,"2016","2016transect",3,"IN"
"126","SE","UP","SS-0000",2015-07-06,67.14848,-135.7209,NA,"2015","2015shorttransects",1,"UP"
"127","SE","UP","SS-0000",2015-07-21,67.14848,-135.7209,NA,"2015","2015shorttransects",2,"UP"
"128","SE","UP","SS-0000",2015-08-21,67.14848,-135.7209,NA,"2015","2015shorttransects",3,"UP"
"129","SE","UP","SS-0000",2016-06-17,67.1484219,-135.721204,NA,"2016","2016transect",1,"UP"
"130","SE","UP","SS-0000",2016-07-25,67.1484219,-135.721204,NA,"2016","2016transect",2,"UP"
"131","SE","UP","SS-0000",2016-08-09,67.1484219,-135.721204,NA,"2016","2016transect",3,"UP"
